"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv1","iv2","dframe","Log_loss","Score_log","Score_spherical"
90993.537126341,91066.3497734441,0.536818170845869,0.0138690724012281,0.530303921932579,16.0900849959647,16.2161499497907,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA
90993.2704168583,91066.0830639614,0.536956203895822,0.0138035969364781,0.530475071024617,16.0897976249997,16.215862220885,"arousal","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",NA,NA,NA
90989.1694949618,91061.9821420649,0.537722366317195,0.0136187486537969,0.531339800861083,16.0862826080283,16.2123292265684,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
90997.6116321739,91070.4242792771,0.538483421926168,0.0135173600211895,0.532159452817391,16.0921898561836,16.2182917789796,"arousal","mo_ep_sd_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
88491.7951385174,88564.6077856205,0.62966714391009,0.0174900953138991,0.623074684210713,14.2771842837441,14.3898306663368,"valence","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA
88490.0721207112,88562.8847678143,0.629520214050533,0.0177076247200619,0.622841635267824,14.276150664245,14.3887872158866,"valence","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",NA,NA,NA
88483.7758407589,88556.588487862,0.630145274177829,0.0175966381193876,0.623520500668729,14.2716380755801,14.3842439294152,"valence","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
88487.2938896371,88560.1065367403,0.629875458290832,0.0178248128357065,0.623158325982781,14.2741511253677,14.38677415714,"valence","mo_ep_sd_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
3761.0499620862,3826.58134447901,0.494495200587934,0.042763615106579,0.471912259720102,0.207570687398249,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",0.156404581534807,-30.1228260207521,0.00466566509234281
3760.16953955779,3825.70092195061,0.494426337409203,0.0430708455734657,0.47167074986468,0.207500718137808,1,"stress","mo_ep_mean_speed_mean","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",0.156368969643845,-30.1250894436365,0.00469647958147452
3757.52657948829,3823.05796188111,0.494331380833056,0.0440124721726626,0.471051028964602,0.207547835853783,1,"stress","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.15625878309191,-Inf,0.00462182535747415
3756.9009959803,3822.43237837312,0.495422510930657,0.0443294639529821,0.472017321830963,0.207507310075384,1,"stress","mo_ep_sd_speed_mean","mo_ep_mean_x_flips","p_thresh_1000_by_sample",0.156207065017557,-30.1391189349772,0.00460606631757407
90991.2555970824,91064.0682441855,0.537694607339868,0.013802082449817,0.531224529647613,16.08790463546,16.2139626763068,"arousal","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",NA,NA,NA
90992.0691007164,91064.8817478196,0.537102232803287,0.0140148470019263,0.530522578571102,16.0888730063477,16.2149309654083,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA
90995.6422755424,91068.4549226455,0.537573664526682,0.0134043069870055,0.531290944458616,16.0911580331499,16.2172423011922,"arousal","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
90995.7382974993,91068.5509446024,0.538200429678708,0.0136200280222894,0.53182385749847,16.0909574810217,16.2170460320476,"arousal","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
88491.4931976218,88564.3058447249,0.629749618087073,0.0175839849805742,0.623122611752613,14.276960415999,14.3896053994126,"valence","mo_ep_mean_speed_mean","mo_ep_sd_angle_mean","p_thresh_2000_by_sample",NA,NA,NA
88488.0470602071,88560.8597073102,0.629432166954477,0.0179749298870697,0.622649314845996,14.2748967350254,14.3875219589929,"valence","mo_ep_mean_speed_mean","mo_ep_mean_angle_sd","p_thresh_2000_by_sample",NA,NA,NA
88487.163827537,88559.9764746402,0.630109192591323,0.0175296514761423,0.623509444367017,14.2738956498215,14.386519239872,"valence","mo_ep_mean_speed_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
88489.471838357,88562.2844854601,0.630008634127692,0.017601669709583,0.623379484202777,14.2754926482794,14.3881279734632,"valence","mo_ep_sd_abs_jerk_mean","mo_ep_mean_x_flips","p_thresh_2000_by_sample",NA,NA,NA
