"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","dframe","Log_loss","Score_log","Score_spherical"
91034.5994426336,91056.4432367645,0.541315144266554,0,0.541315144266554,16.125751529817,16.2522158964627,"arousal","p_thresh_1000_by_sample",NA,NA,NA
88494.9797051985,88516.8234993295,0.627900527057792,0,0.627900527057792,14.2862861385242,14.3990392924065,"valence","p_thresh_1000_by_sample",NA,NA,NA
3760.45957019252,3775.02209961314,0.47495754357104,0,0.47495754357104,0.207666190648261,1,"stress","p_thresh_1000_by_sample",0.156862673914958,-30.1089010816405,0.00493149348512107
91034.5994426336,91056.4432367645,0.541315144266554,0,0.541315144266554,16.125751529817,16.2522158964627,"arousal","p_thresh_2000_by_sample",NA,NA,NA
88494.9797051985,88516.8234993295,0.627900527057792,0,0.627900527057792,14.2862861385242,14.3990392924065,"valence","p_thresh_2000_by_sample",NA,NA,NA
3760.45957019252,3775.02209961314,0.47495754357104,0,0.47495754357104,0.207666190648261,1,"stress","p_thresh_2000_by_sample",0.156862673914958,-30.1089010816405,0.00493149348512107
91034.5994426336,91056.4432367645,0.541315144266554,0,0.541315144266554,16.125751529817,16.2522158964627,"arousal","p_thresh_3000_by_sample",NA,NA,NA
88494.9797051985,88516.8234993295,0.627900527057792,0,0.627900527057792,14.2862861385242,14.3990392924065,"valence","p_thresh_3000_by_sample",NA,NA,NA
3760.45957019252,3775.02209961314,0.47495754357104,0,0.47495754357104,0.207666190648261,1,"stress","p_thresh_3000_by_sample",0.156862673914958,-30.1089010816405,0.00493149348512107
91034.5994426336,91056.4432367645,0.541315144266554,0,0.541315144266554,16.125751529817,16.2522158964627,"arousal","p_thresh_1000_by_participant",NA,NA,NA
88494.9797051985,88516.8234993295,0.627900527057792,0,0.627900527057792,14.2862861385242,14.3990392924065,"valence","p_thresh_1000_by_participant",NA,NA,NA
3760.45957019252,3775.02209961314,0.47495754357104,0,0.47495754357104,0.207666190648261,1,"stress","p_thresh_1000_by_participant",0.156862673914958,-30.1089010816405,0.00493149348512107
91034.5994426336,91056.4432367645,0.541315144266554,0,0.541315144266554,16.125751529817,16.2522158964627,"arousal","p_thresh_2000_by_participant",NA,NA,NA
88494.9797051985,88516.8234993295,0.627900527057792,0,0.627900527057792,14.2862861385242,14.3990392924065,"valence","p_thresh_2000_by_participant",NA,NA,NA
3760.45957019252,3775.02209961314,0.47495754357104,0,0.47495754357104,0.207666190648261,1,"stress","p_thresh_2000_by_participant",0.156862673914958,-30.1089010816405,0.00493149348512107
91034.5994426336,91056.4432367645,0.541315144266554,0,0.541315144266554,16.125751529817,16.2522158964627,"arousal","p_thresh_3000_by_participant",NA,NA,NA
88494.9797051985,88516.8234993295,0.627900527057792,0,0.627900527057792,14.2862861385242,14.3990392924065,"valence","p_thresh_3000_by_participant",NA,NA,NA
3760.45957019252,3775.02209961314,0.47495754357104,0,0.47495754357104,0.207666190648261,1,"stress","p_thresh_3000_by_participant",0.156862673914958,-30.1089010816405,0.00493149348512107
