"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv","dframe"
"fixed",NA,"(Intercept)",67.8276744976451,1.34306164729532,50.5022793512403,167.66920152826,2.38750431063785e-103,65.1761841316231,70.4791648636671,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"recording_duration",-0.138559922089097,0.165153707962032,-0.838975544654139,10618.8333372389,0.401501918941628,-0.462292141451754,0.18517229727356,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01942272459025,0.157898456528643,-6.45619182734271,10571.0221531583,1.12080221571745e-10,-1.32893345100249,-0.709911998178014,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.23950099493318,1.10800586577124,-1.11867728612647,429.352237028928,0.26390332270986,-3.41729157790402,0.938289588037658,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.71087810176152,2.84571505998556,-1.65542860140938,289.618745619815,0.0989207146739068,-10.3117824791133,0.890026275590235,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.43866373740792,2.64346396559241,1.67910884929094,341.184553421048,0.0940463371106829,-0.76087481704235,9.6382022918582,"arousal","recording_duration","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.3031456711697,NA,NA,NA,NA,NA,NA,"arousal","recording_duration","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2212376622429,NA,NA,NA,NA,NA,NA,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8336285814894,1.34173912037964,50.5564960812174,167.680221988903,1.99599813513451e-103,65.1847504314029,70.482506731576,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_episode_duration",0.158118013607274,0.181334502884288,0.871968715783621,10653.2372386066,0.383245095324037,-0.197331465419959,0.513567492634507,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01895118454913,0.157897784193024,-6.45323295546375,10571.0831822137,1.14282697472221e-10,-1.32846059285226,-0.709441776246,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.20637752728628,1.10771207835583,-1.08907138493687,429.071402042541,0.276733705660093,-3.38359469792258,0.970839643350016,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.76391048721933,2.84360441180752,-1.67530703899534,289.589779015511,0.0949533967208516,-10.3606630596111,0.832842085172423,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.48390399171477,2.6418594914697,1.69725301674554,341.059242824105,0.0905610998462288,-0.712485452572651,9.6802934360022,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2863397358688,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2214424905548,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8519547841793,1.34266385530649,50.535325365328,167.745044811992,2.00769666949778e-103,65.201258456375,70.5026511119836,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_total_dist",-0.182113966478432,0.190137126963157,-0.957803293797115,10660.1971380808,0.338183679134144,-0.554818204414556,0.190590271457691,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01877325305854,0.157894593449853,-6.45223646230861,10571.105588287,1.15033930973992e-10,-1.32827640682872,-0.709270099288347,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.25419590907319,1.10799523806382,-1.13195063118217,428.982450628391,0.25828752884254,-3.43197090974509,0.923579091598717,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.69849423626249,2.84518207116338,-1.65138613935568,290.015691086638,0.0997420959117974,-10.298317430347,0.90132895782199,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.45007571706583,2.64284406369071,1.68382076650082,341.343389459698,0.0931305083404847,-0.748234916099265,9.64838635023093,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2976538259793,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2211548367422,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.864538669811,1.33857641196779,50.6990397134267,167.696124357629,1.26246633873993e-103,65.2219061997392,70.5071711398828,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_speed_mean",-0.46637409842195,0.187356627490687,-2.48923192452923,10649.6130746272,0.0128170888141009,-0.833628080150482,-0.0991201166934177,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01997186753846,0.15786353715719,-6.46109852791932,10571.0676516152,1.08518925071169e-10,-1.32941414525055,-0.710529589826374,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.21503277228833,1.10560465934327,-1.09897580660528,427.592340885152,0.272397006463377,-3.38812905559853,0.958063511021864,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.69213794017082,2.83832226082199,-1.65313784306224,289.084594319624,0.0993883406001326,-10.2785352057604,0.894259325418787,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.52350290853299,2.63718886497316,1.7152745366908,340.287869577514,0.0872052184062877,-0.663741547897107,9.71074736496309,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2443759793821,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2178948479892,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8436799323744,1.34235898294956,50.5406383792373,167.720112424697,2.02090562498003e-103,65.1935826233051,70.4937772414436,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_sd_speed_mean",-0.20739213501582,0.167144371074211,-1.24079640662107,10599.5653826172,0.214708430776111,-0.535026495045028,0.120242225013389,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01500223386957,0.157916666124409,-6.42745480119203,10571.0861867786,1.35349501481836e-10,-1.32454865430589,-0.705455813433246,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.23077328711339,1.10762008031309,-1.11118722835496,429.140923787711,0.26710993309751,-3.40780863724442,0.94626206301763,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.71921699324222,2.84452325033934,-1.65905375977477,289.836578083524,0.0981866221066411,-10.3177580085265,0.879324022042082,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.43502927145843,2.64254047827443,1.67832027850506,341.337993166957,0.0941998299191644,-0.762684520361394,9.63274306327826,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2945675263394,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2207229757653,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8634430291911,1.33901364973516,50.6816663464288,167.64185005933,1.4014342637047e-103,65.2199411391969,70.5069449191853,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_angle_mean",-0.36408828722831,0.18683430396243,-1.9487229031641,10659.3604095259,0.0513547256002414,-0.730318379223041,0.00214180476642151,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01988323466338,0.157881088620292,-6.45981886479279,10570.9740668532,1.09436934092668e-10,-1.32935991686396,-0.710406552462809,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.20595651825831,1.10592742380131,-1.09044815446676,427.832374453718,0.276129542861953,-3.37968374236659,0.967770705849968,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.73294415822611,2.83897435878237,-1.66713170324513,288.961810788464,0.0965716212609838,-10.3206348667344,0.854746550282198,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.50470164707684,2.63782737959183,1.70773178030091,340.210352019639,0.0885983805386919,-0.683802961381168,9.69320625553484,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2498286028538,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2196535984157,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8414027958991,1.34251756375538,50.5329722511253,167.702400348515,2.10401370994013e-103,65.1909903809431,70.4918152108551,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_sd_angle_sd",-0.179142622527295,0.16540656470987,-1.08304421194841,10595.3910048561,0.278813445301631,-0.503370570279243,0.145085325224653,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01708881723277,0.157898741973019,-6.44139911771161,10571.1069607054,1.23522310284396e-10,-1.32660010288543,-0.707577531580115,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.23170881457565,1.10770970107837,-1.11194188637742,429.162616080082,0.266785639257445,-3.40892000374372,0.945502374592411,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.71881322880269,2.8448088477188,-1.65874527302129,289.820098967317,0.0982489123659099,-10.3179176867298,0.880291229124447,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.42466547661131,2.64286482012351,1.67419288452465,341.346096507908,0.0950086576714109,-0.773685836489549,9.62301678971216,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2967025721311,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2209727462651,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8562733146692,1.34310870918378,50.5218027779047,167.713692747644,2.15584368962784e-103,65.2046951516822,70.5078514776562,"arousal","mo_ep_mean_x_flips","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_x_flips",-0.265138102310461,0.198552636850546,-1.33535422402894,10697.1829447554,0.181788852900399,-0.654338156690422,0.1240619520695,"arousal","mo_ep_mean_x_flips","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01878730980049,0.157887243072024,-6.45262587386965,10571.0777060273,1.14739798409355e-10,-1.32827605553864,-0.709298564062332,"arousal","mo_ep_mean_x_flips","p_thresh_1000_by_sample"
