"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
90997.564006635,91055.8141243175,0.538209098611651,0.0127637822820941,0.532238695156642,16.095111918605,16.2212376622429,"arousal","recording_duration","p_thresh_1000_by_sample",NA,NA,NA
90997.5077421005,91055.757859783,0.537782373103354,0.0128859064159749,0.531748528461973,16.0953205604581,16.2214424905548,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample",NA,NA,NA
90997.3505067288,91055.6006244113,0.538169773329486,0.0130078657243956,0.532083174087835,16.095031484526,16.2211548367422,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample",NA,NA,NA
90992.0762003676,91050.3263180501,0.537004613808915,0.0135456162361732,0.530646937342889,16.0918126016765,16.2178948479892,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
90996.7284073024,91054.9785249849,0.538077657226498,0.0129704642417327,0.53200757825485,16.0946038417135,16.2207229757653,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
90994.4734587301,91052.7235764126,0.537102997150457,0.01353777876665,0.530750399877662,16.0935565044437,16.2196535984157,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA
90997.094937679,91055.3450553615,0.538114564309133,0.0129358520632677,0.532061379540175,16.0948510725572,16.2209727462651,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",NA,NA,NA
90996.4848528722,91054.7349705547,0.538402571912632,0.0130933822706602,0.53227851572279,16.0942826228853,16.2204022551175,"arousal","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
90997.2554792596,91055.5055969421,0.537721372914682,0.0129627378084676,0.531650278269217,16.0951817414056,16.2213014688889,"arousal","no_movement","p_thresh_1000_by_sample",NA,NA,NA
90997.1455998955,91055.395717578,0.537877798060598,0.0129263567331767,0.531826014105736,16.0950094380385,16.2211297839279,"arousal","lockscreen_time","p_thresh_1000_by_sample",NA,NA,NA
88485.8057614367,88544.0558791192,0.629760104407092,0.0176793923191483,0.623096682795852,14.2758508804561,14.3884868791836,"valence","recording_duration","p_thresh_1000_by_sample",NA,NA,NA
88488.2624913553,88546.5126090378,0.630030158203644,0.0175095301220654,0.623436711969001,14.2773208619284,14.3899708999385,"valence","mo_ep_mean_episode_duration","p_thresh_1000_by_sample",NA,NA,NA
88488.1781801456,88546.4282978281,0.629736072145974,0.0176390064262984,0.623087713909472,14.2774327107568,14.3900811691325,"valence","mo_ep_mean_total_dist","p_thresh_1000_by_sample",NA,NA,NA
88488.7349007546,88546.9850184371,0.629713942485757,0.0174729656837335,0.623128886451534,14.2777830755842,14.3904346385524,"valence","mo_ep_mean_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
88486.778748182,88545.0288658645,0.629676408628827,0.0175761818051895,0.623051085984827,14.2765197068726,14.3891607413623,"valence","mo_ep_sd_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
88488.7394086336,88546.9895263161,0.629735209005716,0.0174743745772575,0.623149990785254,14.2777759359793,14.3904275758309,"valence","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA
88486.7925361734,88545.0426538559,0.629753453609115,0.0175994366723916,0.623120588269231,14.2764954767143,14.3891367771097,"valence","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",NA,NA,NA
88486.552517675,88544.8026353575,0.629930569443821,0.0178899866329777,0.623189433444987,14.2763027493892,14.3889430251527,"valence","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
88488.381331861,88546.6314495436,0.630009523067863,0.0174383878260427,0.623442975638425,14.2773968308735,14.3900475575109,"valence","no_movement","p_thresh_1000_by_sample",NA,NA,NA
88481.8003092142,88540.0504268967,0.629643732052913,0.0179407976517756,0.622877860050067,14.2732930431997,14.3859073152788,"valence","lockscreen_time","p_thresh_1000_by_sample",NA,NA,NA
3753.25344706873,3804.22230004092,0.495655741423639,0.0428602033827548,0.473071477793702,0.207610647072212,1,"stress","recording_duration","p_thresh_1000_by_sample",0.156200529225906,-Inf,0.00472643534692164
3757.12011466232,3808.08896763451,0.495958156477756,0.0430665481601663,0.473273880693421,0.207578507119168,1,"stress","mo_ep_mean_episode_duration","p_thresh_1000_by_sample",0.156374104352924,-Inf,0.00467896277569626
