"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv","dframe"
"fixed",NA,"(Intercept)",67.8448817970395,1.34492096523671,50.445255558269,167.772542831862,2.59197574259619e-103,65.1897326290762,70.5000309650027,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"recording_duration",-0.127877784280624,0.197777437269486,-0.646574179775532,77.3449204782362,0.519821679941861,-0.521674949777816,0.265919381216567,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.02160501070865,0.157883915828632,-6.47060851858718,10570.4756045799,1.01929069325982e-10,-1.33108723644146,-0.712122784975836,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.28342574897768,1.09960632718883,-1.16716839221795,413.482119891498,0.243815025125274,-3.44494151271866,0.878090014763304,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.88517622026684,2.84832975922352,-1.71510205391337,291.858127020505,0.0873879201308256,-10.4910463343656,0.720693893831927,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.64932104521138,2.64322045008297,1.75896075753554,343.32399148624,0.0794749604652799,-0.549623203123971,9.84826529354673,"arousal","recording_duration","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.3238674251653,NA,NA,NA,NA,NA,NA,"arousal","recording_duration","p_thresh_1000_by_sample"
"ran_pars","ID","cor__(Intercept).recording_duration",0.400055659606939,NA,NA,NA,NA,NA,NA,"arousal","recording_duration","p_thresh_1000_by_sample"
"ran_pars","ID","sd__recording_duration",0.955904070643109,NA,NA,NA,NA,NA,NA,"arousal","recording_duration","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.1963511040905,NA,NA,NA,NA,NA,NA,"arousal","recording_duration","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8526702092766,1.34218819262441,50.5537677817018,167.347192069538,2.74182541796245e-103,65.2028671653829,70.5024732531704,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_episode_duration",0.130074721570639,0.200265393651695,0.64951172640874,111.571345733196,0.517342611723245,-0.26674213303052,0.526891576171797,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.01725638839964,0.157936718055499,-6.44091127714947,10563.6738527971,1.23922179149892e-10,-1.32684213927425,-0.707670637525029,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.28400351804922,1.10952732399934,-1.15725272399869,427.657537112356,0.24781507790957,-3.46480896267291,0.896801926574476,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.5285182706027,2.84628924834815,-1.59102532296422,288.819216620159,0.112697790956922,-10.1306178319255,1.0735812907201,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.2584506735856,2.64593077887586,1.60943389282271,339.795408902512,0.108450104000988,-0.946015696971496,9.46291704414269,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2863451413791,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_episode_duration",-0.150605203659749,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"ran_pars","ID","sd__mo_ep_mean_episode_duration",0.910711369277995,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.2023025587241,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.8289132170252,1.34357522444903,50.4838969807891,167.578214146098,2.75061872732585e-103,65.1763984710119,70.4814279630386,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_total_dist",-0.218109083764938,0.223877013746733,-0.974236167057688,114.185543815895,0.331998671357425,-0.661599993763083,0.225381826233206,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.00738403063193,0.157949704803288,-6.37787852713328,10566.5248434201,1.87063262745948e-10,-1.31699522840864,-0.697772832855221,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.26082537846915,1.11137400994579,-1.134474413821,422.783147857216,0.257238406294302,-3.44533200975488,0.923681252816581,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"screen_width",-4.59576217606649,2.84814132939174,-1.61360046590384,289.841184648829,0.107702277929086,-10.2014238578372,1.00989950570421,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"screen_height",4.34707171555962,2.64648268833864,1.64258460284452,341.242457791782,0.101390028672175,-0.858401345164437,9.55254477628368,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"ran_pars","ID","sd__(Intercept)",17.2977826370393,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_total_dist",-0.113913192378018,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"ran_pars","ID","sd__mo_ep_mean_total_dist",1.29690692471735,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"ran_pars","Residual","sd__Observation",16.186548142637,NA,NA,NA,NA,NA,NA,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample"
"fixed",NA,"(Intercept)",67.7778901846729,1.34028281150886,50.5698421278493,167.754178968925,1.78781721418452e-103,65.1318955769276,70.4238847924181,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"mo_ep_mean_speed_mean",-0.418252019068102,0.252739099899211,-1.65487658710067,113.88028418607,0.100703057376128,-0.918931875070538,0.0824278369343345,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"timestamp",-1.00301957378727,0.157866687401127,-6.35358599270959,10570.8751698848,2.19008888747194e-10,-1.31246802721627,-0.693571120358263,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
"fixed",NA,"zoom",-1.15235382558312,1.10765723090237,-1.04035237024033,422.421622283216,0.298771301471723,-3.32956013906511,1.02485248789888,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample"
