"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
90992.8358702088,91065.648517312,0.540719993232063,0.0136685275493947,0.534355316041142,16.0551683535009,16.1963511040905,"arousal","recording_duration","p_thresh_1000_by_sample",NA,NA,NA
90998.7976728003,91071.6103199034,0.538847561638108,0.0124655557488556,0.533026477155855,16.0609714818277,16.2023025587241,"arousal","mo_ep_mean_episode_duration","p_thresh_1000_by_sample",NA,NA,NA
90994.9421415196,91067.7547886228,0.540442437382286,0.0126702024801508,0.534545028649887,16.0355036752118,16.186548142637,"arousal","mo_ep_mean_total_dist","p_thresh_1000_by_sample",NA,NA,NA
90972.8592412433,91045.6718883464,0.542045447771664,0.0134594333075993,0.535797545798109,15.9816661232291,16.1470688028464,"arousal","mo_ep_mean_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
90999.246867548,91072.0595146512,0.538957657023966,0.0126975740776,0.533028248618655,16.0681495344418,16.2063108405105,"arousal","mo_ep_sd_speed_mean","p_thresh_1000_by_sample",NA,NA,NA
90984.2073900191,91057.0200371222,0.539975498663773,0.0139980667757808,0.533444625375175,16.0171382416141,16.1723268889993,"arousal","mo_ep_mean_angle_mean","p_thresh_1000_by_sample",NA,NA,NA
90998.4723184632,91071.2849655663,0.539358883557998,0.0129006885466878,0.533338630574265,16.0578645879995,16.2004228828319,"arousal","mo_ep_sd_angle_sd","p_thresh_1000_by_sample",NA,NA,NA
90999.0594847849,91071.872131888,0.539162761747946,0.0128570641088958,0.533160577362536,16.0738327283191,16.2092672791418,"arousal","mo_ep_mean_x_flips","p_thresh_1000_by_sample",NA,NA,NA
90981.7387679782,91054.5514150813,0.541896042694789,0.0129679060710048,0.535877343682235,15.993248093368,16.1569334480289,"arousal","no_movement","p_thresh_1000_by_sample",NA,NA,NA
90997.4648502107,91070.2774973138,0.538814117084035,0.0144677317166012,0.532043853095486,16.0726615600369,16.2083025004592,"arousal","lockscreen_time","p_thresh_1000_by_sample",NA,NA,NA
88462.5366990015,88535.3493461046,0.633721528610969,0.0179847720938562,0.62701345052458,14.2025915243826,14.3380437003868,"valence","recording_duration","p_thresh_1000_by_sample",NA,NA,NA
