"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0782234501665807,0.0561932096868586,-1.39204452997947,170.013187204306,0.165727202604374,-0.189149723262458,0.0327028229292965,"recording_duration","arousal","1000"
"fixed",NA,"recording_duration_within",0.000941487178544984,0.00641215521167132,0.14682850733733,10565.2876082875,0.88327018440641,-0.0116275460116178,0.0135105203687078,"recording_duration","arousal","1000"
"fixed",NA,"recording_duration_between",-0.140653927746861,0.20345997379946,-0.691310065170345,173.595573411792,0.490294159073079,-0.542227687963116,0.260919832469394,"recording_duration","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.722052583062759,NA,NA,NA,NA,NA,NA,"recording_duration","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639361353275476,NA,NA,NA,NA,NA,NA,"recording_duration","arousal","1000"
"fixed",NA,"(Intercept)",-0.0726367720670486,0.0557865363134007,-1.30204843080749,170.142170957683,0.194659778210091,-0.182759667141361,0.0374861230072633,"movement_episodes","arousal","1000"
"fixed",NA,"movement_episodes_within",0.00674810221671496,0.00714158513521242,0.944902579602763,10565.2735318312,0.344730222356215,-0.00725075115557634,0.0207469555890063,"movement_episodes","arousal","1000"
"fixed",NA,"movement_episodes_between",0.175520830804136,0.145171640457629,1.20905729418526,169.878992106704,0.228320894032668,-0.1110518763178,0.462093537926072,"movement_episodes","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.719916543993841,NA,NA,NA,NA,NA,NA,"movement_episodes","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639335277058448,NA,NA,NA,NA,NA,NA,"movement_episodes","arousal","1000"
"fixed",NA,"(Intercept)",-0.0837676166449667,0.0555342016242206,-1.50839688327188,170.264485059877,0.133306307054361,-0.193391837727624,0.0258566044376908,"mo_ep_sd_episode_duration","arousal","1000"
"fixed",NA,"mo_ep_sd_episode_duration_within",7.0860840723852e-06,0.0073088313551904,0.00096952354323417,10565.3918237887,0.999226450558787,-0.0143196013943685,0.0143337735625133,"mo_ep_sd_episode_duration","arousal","1000"
"fixed",NA,"mo_ep_sd_episode_duration_between",0.239605570964244,0.117667295110896,2.03629709290443,171.696069890483,0.0432568099941462,0.00734481233787648,0.471866329590612,"mo_ep_sd_episode_duration","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.71436040829589,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639360444745034,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","arousal","1000"
"fixed",NA,"(Intercept)",-0.0675763565695182,0.056342041121085,-1.19939489633131,169.925766018876,0.232044171572225,-0.178796835404128,0.0436441222650918,"mo_ep_mean_total_dist","arousal","1000"
"fixed",NA,"mo_ep_mean_total_dist_within",-0.0092962989776039,0.00755119862780107,-1.23110242966963,10565.1902227548,0.218311961231932,-0.0240980720391514,0.00550547408394361,"mo_ep_mean_total_dist","arousal","1000"
"fixed",NA,"mo_ep_mean_total_dist_between",-0.0922112405695512,0.0989625000213197,-0.931779619044446,169.390979608556,0.352776567980991,-0.287569904320262,0.103147423181159,"mo_ep_mean_total_dist","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.721101206278567,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639317705454262,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","arousal","1000"
"fixed",NA,"(Intercept)",-0.0789737388356169,0.0565580808189148,-1.39632989118693,170.076668106211,0.164434907712211,-0.190619974526026,0.0326724968547926,"mo_ep_sd_total_dist","arousal","1000"
