"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","arousal","1000"
"within","recording_duration_within",0.00141719186566552,0.95,-0.0175025562454326,0.0203369399767636,"recording_duration","arousal","1000"
"between","recording_duration_between",-0.0537443493422904,0.95,-0.206134539973701,0.0986458412891201,"recording_duration","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","arousal","1000"
"within","movement_episodes_within",0.00911984776455838,0.95,-0.00979912870863056,0.0280388242377473,"movement_episodes","arousal","1000"
"between","movement_episodes_between",0.0932038889272067,0.95,-0.0579029898910215,0.244310767745435,"movement_episodes","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_episode_duration","arousal","1000"
"within","mo_ep_sd_episode_duration_within",9.35784849624011e-06,0.95,-0.0189103633777002,0.0189290790746927,"mo_ep_sd_episode_duration","arousal","1000"
"between","mo_ep_sd_episode_duration_between",0.156189017252394,0.95,0.0058379781210322,0.306540056383755,"mo_ep_sd_episode_duration","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","arousal","1000"
"within","mo_ep_mean_total_dist_within",-0.0118818155499131,0.95,-0.030800272050596,0.00703664095076985,"mo_ep_mean_total_dist","arousal","1000"
"between","mo_ep_mean_total_dist_between",-0.0719006353808356,0.95,-0.223158026121823,0.0793567553601517,"mo_ep_mean_total_dist","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_total_dist","arousal","1000"
"within","mo_ep_sd_total_dist_within",-0.0100583463090334,0.95,-0.0289771445170787,0.00886045189901192,"mo_ep_sd_total_dist","arousal","1000"
"between","mo_ep_sd_total_dist_between",0.0425127611335184,0.95,-0.109310539848346,0.194336062115382,"mo_ep_sd_total_dist","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","arousal","1000"
"within","mo_ep_sd_speed_mean_within",-0.0180587342850155,0.95,-0.0369753070739694,0.000857838503938329,"mo_ep_sd_speed_mean","arousal","1000"
"between","mo_ep_sd_speed_mean_between",-0.19425509969942,0.95,-0.343250533163116,-0.0452596662357232,"mo_ep_sd_speed_mean","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"within","mo_ep_mean_abs_jerk_sd_within",-0.0336964740193327,0.95,-0.052605363306589,-0.0147875847320764,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.263913441789387,0.95,-0.410147975925431,-0.117678907653343,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.0182761883536989,0.95,-0.0371927722790839,0.000640395571685982,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.190860700506241,0.95,-0.339687985523467,-0.0420334154890153,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","arousal","1000"
"within","mo_ep_mean_angle_mean_within",-0.0139915673648913,0.95,-0.0329096979891287,0.00492656325934621,"mo_ep_mean_angle_mean","arousal","1000"
"between","mo_ep_mean_angle_mean_between",-0.306316271243419,0.95,-0.450638931889499,-0.161993610597339,"mo_ep_mean_angle_mean","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","arousal","1000"
"within","mo_ep_sd_angle_mean_within",-0.0021945568137325,0.95,-0.021114373312783,0.016725259685318,"mo_ep_sd_angle_mean","arousal","1000"
"between","mo_ep_sd_angle_mean_between",-0.198157508094105,0.95,-0.34685471039412,-0.0494603057940892,"mo_ep_sd_angle_mean","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","arousal","1000"
"within","mo_ep_mean_angle_sd_within",-0.026101058532088,0.95,-0.0450145108867582,-0.00718760617741779,"mo_ep_mean_angle_sd","arousal","1000"
"between","mo_ep_mean_angle_sd_between",-0.254893204353014,0.95,-0.401422017642884,-0.108364391063144,"mo_ep_mean_angle_sd","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_x_flips","arousal","1000"
"within","mo_ep_sd_x_flips_within",-0.00461345948860214,0.95,-0.0235330015988755,0.0143060826216712,"mo_ep_sd_x_flips","arousal","1000"
"between","mo_ep_sd_x_flips_between",0.0786028833378339,0.95,-0.0729256790873603,0.230131445763028,"mo_ep_sd_x_flips","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","arousal","1000"
"within","mo_ep_mean_y_flips_within",-0.00812336732404135,0.95,-0.0270425607716352,0.0107958261235525,"mo_ep_mean_y_flips","arousal","1000"
"between","mo_ep_mean_y_flips_between",-0.0498578485770927,0.95,-0.201318039340855,0.101602342186669,"mo_ep_mean_y_flips","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","arousal","1000"
"within","movement_distance_within",-0.00338477303947794,0.95,-0.0223044221306982,0.0155348760517423,"movement_distance","arousal","1000"
"between","movement_distance_between",0.07483881853713,0.95,-0.0766515119479017,0.226329149022162,"movement_distance","arousal","1000"
