"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","dframe"
"fixed",NA,"(Intercept)",-0.0744626465087072,0.0560035211330906,-1.32960651405738,170.142256566935,0.18542782632799,-0.185013870278136,0.0360885772607213,"arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.72303767370947,NA,NA,NA,NA,NA,NA,"arousal","1000"
"ran_pars","Residual","sd__Observation",0.639362695509107,NA,NA,NA,NA,NA,NA,"arousal","1000"
"fixed",NA,"(Intercept)",-0.0539973808563264,0.0606211543803486,-0.890734949016916,169.700923495527,0.374332478150579,-0.173666064356522,0.065671302643869,"valence","1000"
"ran_pars","ID","sd__(Intercept)",0.784889497364561,NA,NA,NA,NA,NA,NA,"valence","1000"
"ran_pars","Residual","sd__Observation",0.582862470806793,NA,NA,NA,NA,NA,NA,"valence","1000"
"fixed",NA,"(Intercept)",-0.0744626465087072,0.0560035211330906,-1.32960651405738,170.142256566935,0.18542782632799,-0.185013870278136,0.0360885772607213,"arousal","2000"
"ran_pars","ID","sd__(Intercept)",0.72303767370947,NA,NA,NA,NA,NA,NA,"arousal","2000"
"ran_pars","Residual","sd__Observation",0.639362695509107,NA,NA,NA,NA,NA,NA,"arousal","2000"
"fixed",NA,"(Intercept)",-0.0539973808563264,0.0606211543803486,-0.890734949016916,169.700923495527,0.374332478150579,-0.173666064356522,0.065671302643869,"valence","2000"
"ran_pars","ID","sd__(Intercept)",0.784889497364561,NA,NA,NA,NA,NA,NA,"valence","2000"
"ran_pars","Residual","sd__Observation",0.582862470806793,NA,NA,NA,NA,NA,NA,"valence","2000"
"fixed",NA,"(Intercept)",-0.0744626465087072,0.0560035211330906,-1.32960651405738,170.142256566935,0.18542782632799,-0.185013870278136,0.0360885772607213,"arousal","3000"
"ran_pars","ID","sd__(Intercept)",0.72303767370947,NA,NA,NA,NA,NA,NA,"arousal","3000"
"ran_pars","Residual","sd__Observation",0.639362695509107,NA,NA,NA,NA,NA,NA,"arousal","3000"
"fixed",NA,"(Intercept)",-0.0539973808563264,0.0606211543803486,-0.890734949016916,169.700923495527,0.374332478150579,-0.173666064356522,0.065671302643869,"valence","3000"
"ran_pars","ID","sd__(Intercept)",0.784889497364561,NA,NA,NA,NA,NA,NA,"valence","3000"
"ran_pars","Residual","sd__Observation",0.582862470806793,NA,NA,NA,NA,NA,NA,"valence","3000"
