"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","arousal","1000"
"within","recording_duration_within",0.000565664031317926,0.95,-0.018808963815954,0.0199402918785899,"recording_duration","arousal","1000"
"between","recording_duration_between",-0.0441309284991886,0.95,-0.196261617888809,0.107999760890432,"recording_duration","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","arousal","1000"
"within","movement_episodes_within",0.0115988352910193,0.95,-0.0163576323680177,0.0395553029500563,"movement_episodes","arousal","1000"
"between","movement_episodes_between",0.0973486555769101,0.95,-0.0536589909544638,0.248356302108284,"movement_episodes","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_episode_duration","arousal","1000"
"within","mo_ep_sd_episode_duration_within",-0.00419406507636981,0.95,-0.0285920514748777,0.0202039213221381,"mo_ep_sd_episode_duration","arousal","1000"
"between","mo_ep_sd_episode_duration_between",0.156193910187922,0.95,0.00584605352802595,0.306541766847817,"mo_ep_sd_episode_duration","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","arousal","1000"
"within","mo_ep_mean_total_dist_within",-0.0135668973857543,0.95,-0.0359445451406062,0.00881075036909771,"mo_ep_mean_total_dist","arousal","1000"
"between","mo_ep_mean_total_dist_between",-0.0685111680924204,0.95,-0.219429350022868,0.0824070138380268,"mo_ep_mean_total_dist","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_total_dist","arousal","1000"
"within","mo_ep_sd_total_dist_within",-0.0139178271377874,0.95,-0.035969581256121,0.00813392698054625,"mo_ep_sd_total_dist","arousal","1000"
"between","mo_ep_sd_total_dist_between",0.0424976435408018,0.95,-0.109324431056924,0.194319718138527,"mo_ep_sd_total_dist","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","arousal","1000"
"within","mo_ep_sd_speed_mean_within",-0.0183860994396467,0.95,-0.0387536151917035,0.00198141631241021,"mo_ep_sd_speed_mean","arousal","1000"
"between","mo_ep_sd_speed_mean_between",-0.193532772157534,0.95,-0.342522419414563,-0.044543124900506,"mo_ep_sd_speed_mean","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"within","mo_ep_mean_abs_jerk_sd_within",-0.0319381354052923,0.95,-0.0583374826820519,-0.00553878812853263,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"between","mo_ep_mean_abs_jerk_sd_between",-0.27048151849117,0.95,-0.416583396989016,-0.124379639993324,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.0183323056876207,0.95,-0.0413746653826876,0.00471005400744633,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.187345755115025,0.95,-0.33607173140695,-0.0386197788230996,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","arousal","1000"
"within","mo_ep_mean_angle_mean_within",-0.0139895165230199,0.95,-0.0374767223461502,0.00949768930011049,"mo_ep_mean_angle_mean","arousal","1000"
"between","mo_ep_mean_angle_mean_between",-0.318548916815181,0.95,-0.461882973184125,-0.175214860446237,"mo_ep_mean_angle_mean","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","arousal","1000"
"within","mo_ep_sd_angle_mean_within",-0.00112284502816473,0.95,-0.0223538813379397,0.0201081912816103,"mo_ep_sd_angle_mean","arousal","1000"
"between","mo_ep_sd_angle_mean_between",-0.199839123607051,0.95,-0.348081439885173,-0.0515968073289293,"mo_ep_sd_angle_mean","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","arousal","1000"
"within","mo_ep_mean_angle_sd_within",-0.0290146456388077,0.95,-0.0545671605286563,-0.00346213074895903,"mo_ep_mean_angle_sd","arousal","1000"
"between","mo_ep_mean_angle_sd_between",-0.261657565385943,0.95,-0.407770238838538,-0.115544891933347,"mo_ep_mean_angle_sd","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_x_flips","arousal","1000"
"within","mo_ep_sd_x_flips_within",-0.00797070393242919,0.95,-0.0319459978717505,0.0160045900068921,"mo_ep_sd_x_flips","arousal","1000"
"between","mo_ep_sd_x_flips_between",0.0776625374567806,0.95,-0.0738300660215758,0.229155140935137,"mo_ep_sd_x_flips","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","arousal","1000"
"within","mo_ep_mean_y_flips_within",-0.00848265846560881,0.95,-0.0279571172742748,0.0109918003430571,"mo_ep_mean_y_flips","arousal","1000"
"between","mo_ep_mean_y_flips_between",-0.0497600713518524,0.95,-0.201213235701745,0.101693092998041,"mo_ep_mean_y_flips","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","arousal","1000"
"within","movement_distance_within",-0.00502803577901856,0.95,-0.0302526186015387,0.0201965470435015,"movement_distance","arousal","1000"
"between","movement_distance_between",0.0750321109405095,0.95,-0.0763333995473049,0.226397621428324,"movement_distance","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","arousal","1000"
"within","lockscreen_episodes._within",-0.0137257154448713,0.95,-0.0344343695951105,0.00698293870536793,"lockscreen_episodes.","arousal","1000"
"between","lockscreen_episodes._between",-0.150051829735043,0.95,-0.299903286607559,-0.000200372862526877,"lockscreen_episodes.","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","arousal","1000"
"within","lockscreen_time_within",-0.01564661044664,0.95,-0.0359787146307817,0.00468549373750172,"lockscreen_time","arousal","1000"
"between","lockscreen_time_between",-0.154622019664143,0.95,-0.304465085846587,-0.00477895348169859,"lockscreen_time","arousal","1000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","valence","1000"
"within","recording_duration_within",0.0238686112866605,0.95,0.00421106873060677,0.0435261538427142,"recording_duration","valence","1000"
"between","recording_duration_between",-0.0139992484136953,0.95,-0.165842398345947,0.137843901518556,"recording_duration","valence","1000"
