"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","pseudo_R2","iv","dv","dframe"
21598.5618124284,21598.5674047483,21634.96813598,0.561035240352165,0.00118154998974396,0.560515967998661,0.634378496814319,0.639361353275476,0.565384686330927,"recording_duration","arousal","1000"
21597.1776327615,21597.1832250814,21633.583956313,0.561222804862493,0.00486905627303072,0.559075920708288,0.634353190400668,0.639335277058448,0.565419328527106,"movement_episodes","arousal","1000"
21595.8166820235,21595.8222743434,21632.2230055751,0.560197408887853,0.0111611726380792,0.555233290863511,0.634379680041862,0.639360444745034,0.565382992616852,"mo_ep_sd_episode_duration","arousal","1000"
21597.7963335079,21597.8019258277,21634.2026570594,0.561261531060645,0.00309383856753183,0.559899932498234,0.634335430755,0.639317705454262,0.565443664366283,"mo_ep_mean_total_dist","arousal","1000"
21598.491263197,21598.4968555169,21634.8975867486,0.56121048561931,0.000942750740929192,0.56079642612462,0.634346536771291,0.63932925288504,0.565428465425894,"mo_ep_sd_total_dist","arousal","1000"
21589.6325405446,21589.6381328645,21626.0388640962,0.561973718831046,0.0224637923783692,0.551907870262235,0.634275443592842,0.63925404855602,0.565525709558409,"mo_ep_sd_speed_mean","arousal","1000"
21576.0587383685,21576.0643306884,21612.4650619201,0.563792980474611,0.0443957945491865,0.543527522129724,0.634021232558566,0.638994397422485,0.565873662763553,"mo_ep_mean_abs_jerk_sd","arousal","1000"
21589.8574631154,21589.8630554353,21626.263786667,0.562193901969197,0.0225977510000228,0.552071730468452,0.634275751070783,0.639254424893147,0.565525290773536,"mo_ep_sd_abs_jerk_sd","arousal","1000"
21581.7573584418,21581.7629507617,21618.1636819934,0.562197586133413,0.0556695233243545,0.536388558158372,0.634334090587194,0.639306693002937,0.565445164505263,"mo_ep_mean_angle_mean","arousal","1000"
21592.4995364299,21592.5051287498,21628.9058599815,0.561530268060863,0.0231140424968132,0.551155660933219,0.634384508373782,0.639363664332343,0.565376321899919,"mo_ep_sd_angle_mean","arousal","1000"
21581.7110081739,21581.7166004938,21618.1173317254,0.56232902711252,0.0394886558505669,0.54433544637096,0.634173903459594,0.639148598680331,0.565664649773603,"mo_ep_mean_angle_sd","arousal","1000"
21598.6973199153,21598.7029122352,21635.1036434668,0.561060821852717,0.00300669316619385,0.559737086358944,0.63437189519039,0.639354391820952,0.565393717963192,"mo_ep_sd_x_flips","arousal","1000"
21599.1426243767,21599.1482166966,21635.5489479283,0.561160207357273,0.00145174504257906,0.560522197636368,0.634359894696504,0.639342609346825,0.565410165822713,"mo_ep_mean_y_flips","arousal","1000"
21598.9691560507,21598.9747483705,21635.3754796022,0.561076121989228,0.00277416519607141,0.559855087291163,0.634375435908498,0.639358007063743,0.56538886982686,"movement_distance","arousal","1000"
21592.093417376,21592.0990096959,21628.4997409275,0.559890278098562,0.0105200115292626,0.555211093675944,0.634326403941924,0.639306741439407,0.565455962824104,"lockscreen_episodes.","arousal","1000"
21591.3989562523,21591.4045485722,21627.8052798038,0.560331324650514,0.0111403734382587,0.555378070314984,0.634298656208668,0.639278844904756,0.565493967956393,"lockscreen_time","arousal","1000"
19664.7763601637,19664.7819524836,19701.1826837153,0.644757599983555,0.000218789858303396,0.644679859540372,0.578126406587882,0.582693985506107,0.640369368702886,"recording_duration","valence","1000"
19667.9070202487,19667.9126125686,19704.3133438003,0.644541732416999,0.0123628101637356,0.640092261367831,0.57828898612475,0.582856566914153,0.640167087927904,"movement_episodes","valence","1000"
19665.9230441002,19665.9286364201,19702.3293676518,0.643304991684414,0.0164199754306281,0.637350292395625,0.578279615767801,0.582846348788027,0.640178728550686,"mo_ep_sd_episode_duration","valence","1000"
19670.4927923182,19670.4983846381,19706.8991158698,0.644610795904726,0.00434643892085397,0.643059375281014,0.578282530723407,0.582850890744719,0.640175138707257,"mo_ep_mean_total_dist","valence","1000"
19670.2097891651,19670.2153814849,19706.6161127166,0.644541028727041,0.00152156887083209,0.643999349218817,0.578264200425141,0.582832677283945,0.640197950464575,"mo_ep_sd_total_dist","valence","1000"
19662.7875195399,19662.7931118598,19699.1938430915,0.645151954288161,0.0250527699177246,0.636033587497968,0.578231631582649,0.582797612118263,0.640238417950842,"mo_ep_sd_speed_mean","valence","1000"
19658.376423946,19658.3820162659,19694.7827474975,0.646752393811647,0.0566377387497738,0.625544055874995,0.578297481553418,0.582860952689194,0.640156421970301,"mo_ep_mean_abs_jerk_sd","valence","1000"
19663.2735382715,19663.2791305914,19699.679861823,0.645548939775211,0.0311063028183787,0.634169299216376,0.578278377338594,0.582844193940743,0.640180248534115,"mo_ep_sd_abs_jerk_sd","valence","1000"
19654.1043014491,19654.109893769,19690.5106250007,0.645630098712579,0.0688154179615424,0.619441829125146,0.578301607453192,0.582863306115206,0.640151247030139,"mo_ep_mean_angle_mean","valence","1000"
19665.5778443082,19665.583436628,19701.9841678597,0.644829223080977,0.0193708073329294,0.637813375764344,0.578280402429354,0.582847274902864,0.640177752871518,"mo_ep_sd_angle_mean","valence","1000"
19657.5519226235,19657.5575149434,19693.9582461751,0.645641077735603,0.0532512343608928,0.625709654846832,0.578273748686632,0.582837080986691,0.640185951111188,"mo_ep_mean_angle_sd","valence","1000"
19669.4705162778,19669.4761085977,19705.8768398294,0.644451889451164,0.00331141375541017,0.643270610844957,0.578256767623601,0.582824983253752,0.640207193165884,"mo_ep_sd_x_flips","valence","1000"
19670.9019098647,19670.9075021846,19707.3082334162,0.644533558326366,0.00380870186809968,0.643174516440548,0.578288743468192,0.582857184729621,0.640167409661472,"mo_ep_mean_y_flips","valence","1000"
19669.0542470423,19669.0598393621,19705.4605705938,0.644389040542064,0.00508170503523254,0.64257270043413,0.57825739099489,0.582825417069191,0.640206413147124,"movement_distance","valence","1000"
19660.9539825329,19660.9595748528,19697.3603060844,0.64381720867482,0.00952321261946177,0.640392590858027,0.578137390058949,0.582703859222059,0.640355679420004,"lockscreen_episodes.","valence","1000"
19657.848680182,19657.8542725019,19694.2550037336,0.644155452161615,0.0109946334081315,0.640199578426321,0.578054057128127,0.58261981069761,0.640459325446706,"lockscreen_time","valence","1000"
21598.5618124284,21598.5674047483,21634.96813598,0.561035240352165,0.00118154998974396,0.560515967998661,0.634378496814319,0.639361353275476,0.565384686330927,"recording_duration","arousal","2000"
21597.6846464608,21597.6902387807,21634.0909700124,0.561334496947087,0.00388254424396954,0.559624720440246,0.634358504751351,0.639340852739129,0.56541205723822,"movement_episodes","arousal","2000"
21599.0525265169,21599.0581188368,21635.4588500685,0.56120949860545,0.000562545130285373,0.560962520209181,0.634351653716463,0.63933447552126,0.565421459238319,"mo_ep_mean_total_dist","arousal","2000"
21593.8203393802,21593.8259317001,21630.2266629318,0.561513688506405,0.0135009818220572,0.555512673186968,0.634331407017369,0.639311908875659,0.565449114881344,"mo_ep_sd_speed_mean","arousal","2000"
21577.7870183189,21577.7926106388,21614.1933418704,0.563470996705943,0.0416357996992915,0.544506145829439,0.634052454664506,0.639026270139683,0.565830934139373,"mo_ep_mean_abs_jerk_sd","arousal","2000"
21592.0070305242,21592.012622844,21628.4133540757,0.561764829808244,0.0164094270391419,0.554453669810441,0.634295063271658,0.639274848452278,0.565498875616766,"mo_ep_sd_abs_jerk_sd","arousal","2000"
21586.3393055434,21586.3448978633,21622.745629095,0.561365192334144,0.0415655571115596,0.542342399190142,0.634350768994736,0.639326021736734,0.565422408389182,"mo_ep_mean_angle_mean","arousal","2000"
21593.114768168,21593.1203604878,21629.5210917195,0.56137513476307,0.0191394786793641,0.552816271322285,0.634373875522062,0.639353621028823,0.565390909347633,"mo_ep_sd_angle_mean","arousal","2000"
21585.8141730297,21585.8197653496,21622.2204965813,0.561908609327392,0.0342467860129494,0.546373354675181,0.634254016979276,0.639230189811316,0.565554974267151,"mo_ep_mean_angle_sd","arousal","2000"
21599.9900296954,21599.9956220153,21636.396353247,0.561175821640255,0.000117248039696915,0.561124364332303,0.634374045584439,0.639357107377476,0.565390791606464,"mo_ep_mean_y_flips","arousal","2000"
21597.7661714151,21597.771763735,21634.1724949667,0.561082169706847,0.0034945389145455,0.559542975494528,0.634352559837722,0.639334829699967,0.565420198726605,"mo_ep_sd_y_flips","arousal","2000"
21599.0147668046,21599.0203591244,21635.4210903561,0.56108561690743,0.00263188814602109,0.559927395035034,0.634375498259838,0.639358098519169,0.565388785417924,"movement_distance","arousal","2000"
21592.093417376,21592.0990096959,21628.4997409275,0.559890278098562,0.0105200115292626,0.555211093675944,0.634326403941924,0.639306741439407,0.565455962824104,"lockscreen_episodes.","arousal","2000"
21591.3989562523,21591.4045485722,21627.8052798038,0.560331324650514,0.0111403734382587,0.555378070314984,0.634298656208668,0.639278844904756,0.565493967956393,"lockscreen_time","arousal","2000"
19664.7763601637,19664.7819524836,19701.1826837153,0.644757599983555,0.000218789858303396,0.644679859540372,0.578126406587882,0.582693985506107,0.640369368702886,"recording_duration","valence","2000"
19667.5913478066,19667.5969401265,19703.9976713582,0.644900014566752,0.0128652838005526,0.640272011908959,0.578278221768678,0.582845769861037,0.640180481903091,"movement_episodes","valence","2000"
19671.3691238645,19671.3747161844,19707.775447416,0.644563438672328,0.000808301625003057,0.644275906309345,0.578282596476729,0.582851295490905,0.640175064679424,"mo_ep_mean_total_dist","valence","2000"
19666.8819248162,19666.887517136,19703.2882483677,0.644787350705557,0.0134839137385989,0.639932227926873,0.578269757867181,0.582837141362716,0.640191010080134,"mo_ep_sd_speed_mean","valence","2000"
19658.6919750227,19658.6975673426,19695.0982985743,0.646560465128032,0.055036074796539,0.625975632037098,0.578297402994951,0.582861001469321,0.640156522651812,"mo_ep_mean_abs_jerk_sd","valence","2000"
19664.9571988386,19664.9627911585,19701.3635223902,0.645091414519141,0.0217205093686954,0.637211462695769,0.578267582043653,0.582834180663556,0.640193699481624,"mo_ep_sd_abs_jerk_sd","valence","2000"
19657.8851885149,19657.8907808348,19694.2915120665,0.644850294133134,0.0535430560309371,0.624758729776433,0.578301301736475,0.582864569848658,0.640151663496166,"mo_ep_mean_angle_mean","valence","2000"
19666.5845584984,19666.5901508183,19702.9908820499,0.644691388607459,0.0144989235483193,0.639464004776293,0.578279271562455,0.582846600929115,0.640179170566668,"mo_ep_sd_angle_mean","valence","2000"
19658.9099938429,19658.9155861628,19695.3163173945,0.645349930857616,0.0487901010115749,0.627158979821866,0.578282001531334,0.582845822708911,0.64017569292998,"mo_ep_mean_angle_sd","valence","2000"
19671.6830678879,19671.6886602078,19708.0893914395,0.644537491714107,0.000798825790394723,0.644253312084953,0.578289627407993,0.582858375694573,0.640166316770515,"mo_ep_mean_y_flips","valence","2000"
19669.6788098171,19669.684402137,19706.0851333686,0.644415916769103,0.00400466656955394,0.642986195521438,0.578271891986793,0.582840147574881,0.640188374570399,"mo_ep_sd_y_flips","valence","2000"
19669.1183274417,19669.1239197616,19705.5246509932,0.644401221479089,0.00489656721777007,0.642651440236031,0.578257722634618,0.582825773068388,0.640206001046577,"movement_distance","valence","2000"
