"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0775702235702954,0.0561973784411808,-1.38031747604534,169.989978064234,0.169301367453703,-0.18850483442444,0.0333643872838488,"recording_duration","arousal","1000"
"fixed",NA,"recording_duration_within",0.000375789224982462,0.00656631988876034,0.0572298077688395,87.2211638988107,0.954493038907771,-0.0126750159645378,0.0134265944145027,"recording_duration","arousal","1000"
"fixed",NA,"recording_duration_between",-0.115494717202622,0.203113502897221,-0.56862156161555,173.798777035196,0.570346995696719,-0.516381349542425,0.28539191513718,"recording_duration","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.722124423359205,NA,NA,NA,NA,NA,NA,"recording_duration","arousal","1000"
"ran_pars","ID","cor__(Intercept).recording_duration_within",0.355396652892265,NA,NA,NA,NA,NA,NA,"recording_duration","arousal","1000"
"ran_pars","ID","sd__recording_duration_within",0.0161514952549194,NA,NA,NA,NA,NA,NA,"recording_duration","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639171683665198,NA,NA,NA,NA,NA,NA,"recording_duration","arousal","1000"
"fixed",NA,"(Intercept)",-0.0726038745453835,0.0557860854611026,-1.3014692453373,170.134769877138,0.194857467591194,-0.18272591394819,0.0375181648574236,"movement_episodes","arousal","1000"
"fixed",NA,"movement_episodes_within",0.00858239393455809,0.010553080921196,0.813259558857381,103.561755642498,0.417935055166127,-0.0123458038722136,0.0295105917413298,"movement_episodes","arousal","1000"
"fixed",NA,"movement_episodes_between",0.183326222770274,0.145076302806293,1.26365380991997,169.885601045145,0.208085584128342,-0.10305820534849,0.469710650889039,"movement_episodes","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.719994006925269,NA,NA,NA,NA,NA,NA,"movement_episodes","arousal","1000"
"ran_pars","ID","cor__(Intercept).movement_episodes_within",-0.0586411404801536,NA,NA,NA,NA,NA,NA,"movement_episodes","arousal","1000"
"ran_pars","ID","sd__movement_episodes_within",0.0860220612702321,NA,NA,NA,NA,NA,NA,"movement_episodes","arousal","1000"
"ran_pars","Residual","sd__Observation",0.635579891927719,NA,NA,NA,NA,NA,NA,"movement_episodes","arousal","1000"
"fixed",NA,"(Intercept)",-0.0837790601928403,0.0555338260126697,-1.50861315000567,170.262028581867,0.133251056747951,-0.193402551140854,0.0258444307551735,"mo_ep_sd_episode_duration","arousal","1000"
"fixed",NA,"mo_ep_sd_episode_duration_within",-0.00317589002943915,0.00942512641230802,-0.336959939899782,109.243232150473,0.736793595520294,-0.0218557173592903,0.015503937300412,"mo_ep_sd_episode_duration","arousal","1000"
"fixed",NA,"mo_ep_sd_episode_duration_between",0.239613077091317,0.117664801979593,2.03640403128265,171.684063841862,0.0432460657213651,0.00735712432148578,0.471869029861149,"mo_ep_sd_episode_duration","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.71440482061047,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","arousal","1000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_episode_duration_within",-0.000397646947305617,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","arousal","1000"
"ran_pars","ID","sd__mo_ep_sd_episode_duration_within",0.0640124565157815,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","arousal","1000"
"ran_pars","Residual","sd__Observation",0.637148233885554,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","arousal","1000"
"fixed",NA,"(Intercept)",-0.0678591471088523,0.0563411300162619,-1.20443354773442,169.947359810542,0.230096748786877,-0.17907772604966,0.0433594318319559,"mo_ep_mean_total_dist","arousal","1000"
"fixed",NA,"mo_ep_mean_total_dist_within",-0.0106147022537618,0.0089319157437528,-1.18840152082558,126.949981052236,0.236893674166309,-0.0282894185916078,0.00706001408408421,"mo_ep_mean_total_dist","arousal","1000"
"fixed",NA,"mo_ep_mean_total_dist_between",-0.087864311201275,0.0987405653054697,-0.889850194086419,169.341274341284,0.374808733553264,-0.282785272462235,0.107056650059685,"mo_ep_mean_total_dist","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.721150595462514,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","arousal","1000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_total_dist_within",-0.1469569612224,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","arousal","1000"
"ran_pars","ID","sd__mo_ep_mean_total_dist_within",0.053156647144555,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","arousal","1000"
"ran_pars","Residual","sd__Observation",0.637840893857278,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","arousal","1000"
"fixed",NA,"(Intercept)",-0.0789774167762932,0.0565578716441713,-1.39640008508758,170.075977453193,0.164413822348481,-0.190623242802316,0.0326684092497292,"mo_ep_sd_total_dist","arousal","1000"
"fixed",NA,"mo_ep_sd_total_dist_within",-0.0107188153501356,0.00866405899156033,-1.23715862975735,106.83896074076,0.218740525916722,-0.0278945978766007,0.00645696717632948,"mo_ep_sd_total_dist","arousal","1000"
"fixed",NA,"mo_ep_sd_total_dist_between",0.0639535262464266,0.116556762404783,0.548689968106065,170.747688777178,0.583934971358562,-0.166124247577188,0.294031300070042,"mo_ep_sd_total_dist","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.722450347027233,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","arousal","1000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_total_dist_within",-0.00314967542484771,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","arousal","1000"
"ran_pars","ID","sd__mo_ep_sd_total_dist_within",0.0467827131079913,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","arousal","1000"
"ran_pars","Residual","sd__Observation",0.638156556334436,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","arousal","1000"
"fixed",NA,"(Intercept)",-0.0521698050748746,0.0556608051091754,-0.937280820364466,170.255138868068,0.349941785815873,-0.162043983940822,0.0577043737910729,"mo_ep_sd_speed_mean","arousal","1000"
"fixed",NA,"mo_ep_sd_speed_mean_within",-0.0136371450415996,0.00770681304345782,-1.76949213179317,87.6209430137218,0.0802909554079522,-0.0289537400088013,0.00167944992560218,"mo_ep_sd_speed_mean","arousal","1000"
"fixed",NA,"mo_ep_sd_speed_mean_between",-0.370478901004069,0.145501664667747,-2.54621761098099,170.183828968394,0.0117767380977802,-0.657699393913243,-0.0832584080948954,"mo_ep_sd_speed_mean","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.709458827250335,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","1000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_speed_mean_within",-0.0284200875596389,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","1000"
"ran_pars","ID","sd__mo_ep_sd_speed_mean_within",0.0303657907859031,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","1000"
"ran_pars","Residual","sd__Observation",0.638720706167899,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","arousal","1000"
"fixed",NA,"(Intercept)",-0.0453148076476218,0.0546375049851591,-0.829371832771837,169.840259388252,0.40805816846612,-0.153170882576695,0.0625412672814518,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"fixed",NA,"mo_ep_mean_abs_jerk_sd_within",-0.0267538261190985,0.011281645251905,-2.37144720665461,132.421478600902,0.0191590740017164,-0.0490693784647935,-0.00443827377340343,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"fixed",NA,"mo_ep_mean_abs_jerk_sd_between",-0.321571895824284,0.0886133587123692,-3.62893248260769,168.827758674193,0.000376872704819993,-0.496504853951244,-0.146638937697323,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.697357633860161,NA,NA,NA,NA,NA,NA,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_abs_jerk_sd_within",0.0742605370756578,NA,NA,NA,NA,NA,NA,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"ran_pars","ID","sd__mo_ep_mean_abs_jerk_sd_within",0.0845806169800242,NA,NA,NA,NA,NA,NA,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"ran_pars","Residual","sd__Observation",0.635711863471053,NA,NA,NA,NA,NA,NA,"mo_ep_mean_abs_jerk_sd","arousal","1000"
"fixed",NA,"(Intercept)",-0.0494106484312699,0.0559146469710207,-0.883679878313073,169.85122418369,0.37811812772459,-0.159787788847692,0.0609664919851525,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_within",-0.0138837432417915,0.00890265088018185,-1.55950664904742,96.3904671769348,0.122153892997462,-0.0315544520361088,0.00378696555252593,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_between",-0.334052516251058,0.135288420543392,-2.46918779086429,169.087356870827,0.0145355392421176,-0.601124452726491,-0.0669805797756259,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.709712329458288,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_abs_jerk_sd_within",-0.0821267588893068,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"ran_pars","ID","sd__mo_ep_sd_abs_jerk_sd_within",0.0547144528062921,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"ran_pars","Residual","sd__Observation",0.637659607733964,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","arousal","1000"
"fixed",NA,"(Intercept)",-0.0441555944954756,0.0537636834805768,-0.821290351347071,169.465623712778,0.412634788638408,-0.150288403139793,0.0619772141488417,"mo_ep_mean_angle_mean","arousal","1000"
"fixed",NA,"mo_ep_mean_angle_mean_within",-0.0107744681676718,0.00922842099127793,-1.16753106277391,125.102519788638,0.245216399167711,-0.0290385123588605,0.00748957602351693,"mo_ep_mean_angle_mean","arousal","1000"
"fixed",NA,"mo_ep_mean_angle_mean_between",-0.424902948893816,0.0975362180885912,-4.35636071626112,168.349212059926,2.29240440801668e-05,-0.617454608565568,-0.232351289222064,"mo_ep_mean_angle_mean","arousal","1000"
