"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv1","iv2","dframe"
"fixed",NA,"(Intercept)",67.7231777518698,1.34095598622402,50.5036544432534,166.809095727668,5.27955405327497e-103,65.0757451801753,70.3706103235644,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd",-0.558038149221317,0.207259588048301,-2.69245999413676,10689.7655390983,0.00710375684248277,-0.964305477384303,-0.151770821058331,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"trial_sd_duration",-0.295090493464994,0.262381308270716,-1.12466278718502,10571.3778248583,0.260757491675378,-0.809407294226465,0.219226307296477,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.00720286901279,0.15799923135674,-6.37473271460841,10566.2821018822,1.90928558953449e-10,-1.31691114898601,-0.69749458903958,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.07952287431461,1.10567196032786,-0.97635005051092,425.904709487291,0.329445248053353,-3.25277588221728,1.09373013358805,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.68933094178569,2.83581622086256,-1.65360890007158,286.77797363815,0.0993011768886953,-10.2709845387092,0.89232265513782,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.45656601777981,2.6343663623865,1.69170320476707,338.007609568045,0.0916242300465349,-0.725251456815081,9.63838349237471,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.16810761642695,0.570488387758611,0.294673160811261,3750.20614755277,0.768259877945618,-0.950390066042248,1.28660529889615,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd:trial_sd_duration",0.000798030150510367,0.0984527096783389,0.00810572053443387,10570.2438573835,0.993532794518281,-0.192187833148259,0.193783893449279,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2163706228284,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2170510277939,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7414296936738,1.33793750105745,50.6312362424507,167.122802811831,2.65558945184018e-103,65.0999927090572,70.3828666782905,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd",-0.32889490972997,0.21248647922528,-1.54783923630864,10660.0406653089,0.121690692454382,-0.74540804794907,0.0876182284891301,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_mean_trial_move_offset",0.589555464482528,0.253382759963933,2.3267386643292,10700.5595630689,0.0199977490741934,0.0928782004595759,1.08623272850548,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"timestamp",-0.988669378164411,0.158294183940875,-6.2457719769015,10567.2916295055,4.37929788831332e-10,-1.29895581741199,-0.678382938916836,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.13034870097665,1.10386763933747,-1.02398934500433,424.194434390726,0.306423896856976,-3.30008015544296,1.03938275348966,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.6548285436956,2.8298571126035,-1.64489879116656,286.022094205927,0.101089211098191,-10.2248153833965,0.915158296005265,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.52844794162086,2.62923695920039,1.72234302647186,337.037311361934,0.0859247755952819,-0.643333460767848,9.70022934400957,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.169135173420547,0.570327850743361,0.296557801271842,3726.41511310163,0.766820658848541,-0.949050065492472,1.28732041233357,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd:trial_mean_trial_move_offset",0.0504770596278875,0.111019505429325,0.454668388520442,10601.075694014,0.649357135945657,-0.167142018935863,0.268096138191638,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.1675042158513,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2158923966578,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.728962567022,1.34140286405147,50.4911420588881,166.749192534365,5.80245221659371e-103,65.0806407783148,70.3772843557293,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_mean_angle_sd",-0.57798469127158,0.20309818072305,-2.84583884116488,10695.1685057794,0.00443788342158606,-0.976094864576142,-0.179874517967017,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_sd_trial_move_offset",-0.0874867095967159,0.183879894350447,-0.475781813480813,10582.3800988253,0.634239648891884,-0.447925905327014,0.272952486133583,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.0122549736254,0.157972342594212,-6.40779871338369,10566.3561380232,1.53922995497076e-10,-1.32191054630634,-0.702599400944462,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.12366142360784,1.10567486956775,-1.0162674892368,425.835609791537,0.310079075517467,-3.29692115470786,1.04959830749218,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.640393259309,2.83687615707548,-1.63574051258295,286.955151065088,0.102990253545032,-10.2241184872234,0.943331968605362,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.34144295167488,2.63568374568373,1.64717901333366,338.340542975886,0.100449649559924,-0.842947494042718,9.52583339739248,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.16871965081354,0.570395150762183,0.295794328875501,3745.00000120526,0.76740355370465,-0.949595733412327,1.28703503503941,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_mean_angle_sd:trial_sd_trial_move_offset",0.0408860235105786,0.178260651813336,0.229360899865843,10574.3543423969,0.818592859437735,-0.308538429745773,0.39031047676693,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2240535125517,NA,NA,NA,NA,NA,NA,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2172177680387,NA,NA,NA,NA,NA,NA,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.6555495799481,1.33454877705114,50.6954490861262,168.993280835465,3.83033806124927e-104,65.021015486692,70.2900836732042,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"task_total_dist",-1.01173306666496,0.297969337460442,-3.39542677541202,10640.9972363793,0.000687721500852009,-1.5958086723814,-0.427657460948532,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"trial_mean_speed_mean",-1.20655088223357,0.389481059225558,-3.09784225356855,10717.2843202127,0.00195439186378769,-1.97000595219287,-0.443095812274268,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"timestamp",-0.880111498149211,0.159785387778065,-5.50808500318972,10575.6112254937,3.71247021263357e-08,-1.19332094978725,-0.566902046511168,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.20258770271115,1.0998094432126,-1.09345097019564,420.461461699374,0.274821900231927,-3.36439739533509,0.959221989912795,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.63460843387595,2.81827377223499,-1.64448481887568,284.539455711853,0.101180413086791,-10.1819186892935,0.912701821541559,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"screen_height",5.86259860071641,2.62876031406059,2.23017616682617,339.002452841794,0.0263899699404509,0.691862788203911,11.0333344132289,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.200262997365056,0.569406608169019,0.351704729962689,3731.75026205379,0.725079570149885,-0.916115534052949,1.31664152878306,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"task_total_dist:trial_mean_speed_mean",0.0927292487080304,0.153123050786413,0.605586475921094,10722.5362665028,0.544802202536254,-0.207420296986518,0.392878794402578,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.0701528704938,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.1974565132517,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7310759514153,1.34027111183587,50.5353546407779,167.000237741797,4.00669403085715e-103,65.0850176482671,70.3771342545634,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"trial_sd_total_dist",-0.408244431816088,0.183049665138059,-2.23023861588702,10584.5014435997,0.0257524887151488,-0.767056213830293,-0.0494326498018834,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"trial_sd_speed_mean",-0.317128656581219,0.220204490309933,-1.44015526720126,10631.1013764986,0.149852922638908,-0.748770669731468,0.114513356569031,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.01214961897667,0.15798655995298,-6.40655521126547,10566.1455571801,1.55178277984508e-10,-1.32183306106814,-0.702466176885201,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.14194573134052,1.10484866937034,-1.03357660012508,424.74338112062,0.301922269090768,-3.31359744060928,1.02970597792825,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.78395744823367,2.83415302317457,-1.68796723716601,286.508094594413,0.0925056933317815,-10.3623596901194,0.794444793652086,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.78289653392477,2.63580551388989,1.81458628442818,338.5027141599,0.0704725571138869,-0.401724513460613,9.96751758131016,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.229448679990981,0.570479452414046,0.40220323277209,3740.51877189889,0.687557444272348,-0.88903241905977,1.34792977904173,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"trial_sd_total_dist:trial_sd_speed_mean",0.000981625286578979,0.105630057927696,0.00929304883322987,10584.7699258762,0.992585501670143,-0.206073160532164,0.208036411105322,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.202624717057,NA,NA,NA,NA,NA,NA,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2159720387145,NA,NA,NA,NA,NA,NA,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7357367432732,1.33055945952304,50.9077112326524,166.743472725385,1.61045159590319e-103,65.108822349538,70.3626511370085,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"trial_sd_angle_sd",0.137900622334363,0.166830058989729,0.826593379930727,10585.9270909783,0.40848620104247,-0.18911767509065,0.464918919759375,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"trial_mean_speed_sd",-1.27803690185289,0.292416111887572,-4.37061040721403,10726.7448281924,1.25065778383667e-05,-1.85122662605544,-0.704847177650334,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.01135166247841,0.157875966892402,-6.40598871624129,10566.1126788207,1.55753412961748e-10,-1.32081832143179,-0.701885003525027,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.15000085517798,1.09964194136806,-1.04579573760825,420.511494171792,0.296256113717947,-3.31148056010973,1.01147884975378,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.79038898071946,2.81835128266974,-1.69971323666284,284.419319190336,0.0902781621133636,-10.3378618112032,0.757083849764244,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"screen_height",5.29981967198055,2.62600682796674,2.01820483310932,337.720915776741,0.0443601603782745,0.134429705070854,10.4652096388902,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.193955808164758,0.569200695514859,0.340751179141338,3678.64567697182,0.733310364910176,-0.922024237778751,1.30993585410827,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"trial_sd_angle_sd:trial_mean_speed_sd",0.245403935764762,0.161797253314128,1.51673734095048,10583.9006625086,0.129362878085927,-0.0717491227766955,0.562556994306219,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.0775217329649,NA,NA,NA,NA,NA,NA,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2093923438067,NA,NA,NA,NA,NA,NA,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7367510031024,1.34002210208583,50.54898042179,166.915431701944,4.15574447156803e-103,65.0911745022939,70.382327503911,"arousal","task_y_flips","trial_sd_speed_sd","by_sample_cutoffNA"
"fixed",NA,"task_y_flips",-0.608277811742528,0.195790803560477,-3.10677417264208,10676.1210292292,0.00189636974122729,-0.99206424547166,-0.224491378013396,"arousal","task_y_flips","trial_sd_speed_sd","by_sample_cutoffNA"
