"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv1","iv2","dframe"
"fixed",NA,"(Intercept)",67.71891713626,1.3406920995063,50.5104170906928,166.753738566918,5.44280944508483e-103,65.071999132217,70.365835140303,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd",-0.567414064505927,0.207587508189578,-2.73337287707958,10320.9382192123,0.00627961252552136,-0.974325823759601,-0.160502305252253,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"trial_sd_duration",-0.330772908403224,0.290655159068894,-1.13802524428896,50.9748381696668,0.260430611310176,-0.914294481972287,0.252748665165838,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.00752897020574,0.157962369664413,-6.3782847291175,10555.9924222943,1.86577394039919e-10,-1.31716502889043,-0.697892911521044,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.05951968748991,1.10533958673477,-0.958546767170248,425.836616715384,0.33833101891302,-3.23212038862663,1.11308101364681,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.64838384712136,2.83510649392955,-1.6395799794732,286.808052771754,0.102188871963419,-10.2286380293231,0.931870335080322,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.41259480498189,2.63363064748254,1.6754797447394,338.057381042371,0.094764779732702,-0.767772772561349,9.59296238252514,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.163830127859499,0.571067862776098,0.286883816335035,3692.28010715889,0.774217379855731,-0.955809342373766,1.28346959809276,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd:trial_sd_duration",0.0129818741300806,0.119919884102552,0.108254558676682,13.7842807739584,0.915353754743948,-0.244598833300767,0.270562581560929,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2123856605466,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"ran_pars","ID","cor__(Intercept).task_angle_sd:trial_sd_duration",-0.0942488571522828,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"ran_pars","ID","sd__task_angle_sd:trial_sd_duration",0.200982470364177,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2098725435748,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7347547805809,1.33870102028853,50.597372941407,166.798906903852,3.98645843594829e-103,65.0917729801574,70.3777365810044,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd",-0.267448433865137,0.225436037082016,-1.18636060732312,1869.60580623843,0.235630657604096,-0.709581176644105,0.174684308913831,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_mean_trial_move_offset",0.803350542493383,0.317554722498697,2.52980190680892,1859.56765208117,0.0114946669453116,0.180549355845574,1.42615172914119,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"timestamp",-0.954072004553945,0.158700063582309,-6.01179346131212,10555.8593003509,1.89553564716417e-09,-1.26515408300146,-0.642989926106427,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.16565586212841,1.10391619438025,-1.05592785762403,423.273470113003,0.291603484661071,-3.33549626322012,1.0041845389633,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.57417185637353,2.82815693839529,-1.61736846858609,286.329860568983,0.106899859890536,-10.1407868322024,0.992443119455353,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.51200113439498,2.627112872777,1.71747517251726,337.545905094978,0.0868095691216826,-0.655574072811925,9.67957634160189,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.163807770795759,0.570554280344799,0.287102868979908,3718.46270018144,0.774049552490448,-0.954822183464605,1.28243772505612,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd:trial_mean_trial_move_offset",0.0105737819318407,0.216698444081158,0.0487949139490847,45.2701404927741,0.961297381472681,-0.425807415743338,0.44695497960702,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.1623592024346,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","cor__(Intercept).task_angle_sd:trial_mean_trial_move_offset",0.0100508449829902,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","sd__task_angle_sd:trial_mean_trial_move_offset",1.0652067284882,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.1749512753283,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.7284459644513,1.34037726033339,50.5293904699678,166.740411156719,5.19591928958193e-103,65.0821479988897,70.374743930013,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_mean_angle_sd",-0.571939999908028,0.2031263846356,-2.81568542134033,10684.0667081588,0.0048762449438959,-0.970105504948967,-0.17377449486709,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_sd_trial_move_offset",-0.0868129090428553,0.183898776753601,-0.472068985859394,10570.77135664,0.636887293191109,-0.447289163119742,0.273663345034031,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.0124496678722,0.157969953898119,-6.40912808346557,10566.4366987124,1.52592094196835e-10,-1.32210055798801,-0.702798777756384,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.04974995772898,1.1044055791677,-0.950511277315428,424.213479673519,0.342393736421783,-3.22053849287872,1.12103857742076,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.71871038487679,2.83319623862707,-1.66550778253306,286.233601449347,0.0969055380068619,-10.2952520927065,0.857831322952919,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.40892484857345,2.63247560934953,1.67482077817346,337.427333413318,0.0948958837637796,-0.769205498939645,9.58705519608654,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.172416181227785,0.570564375804883,0.302185324810301,3737.2801384098,0.762527605993927,-0.946231732262776,1.29106409471835,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"fixed",NA,"trial_mean_angle_sd:trial_sd_trial_move_offset",0.0957392959793451,0.178590501277851,0.536082800005103,7987.23859025073,0.591916255131116,-0.254344705159455,0.445823297118145,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2105347803498,NA,NA,NA,NA,NA,NA,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
"ran_pars","ID","cor__(Intercept).trial_mean_angle_sd:trial_sd_trial_move_offset",-1,NA,NA,NA,NA,NA,NA,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA"
