"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv1","iv2","dframe","Log_loss","Score_log","Score_spherical"
90929.3418348697,91023.9885845554,0.536475122309091,0.0130947128512214,0.530324861233587,16.0793911707748,16.2098725435748,"arousal","task_angle_sd","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
90917.6668579588,91012.3136076445,0.539148897228336,0.0144155315450642,0.532408314536325,16.0286571104854,16.1749512753283,"arousal","task_angle_sd","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90930.3182045756,91024.9649542614,NA,0.0275286751163036,NA,16.0915472530012,16.2169949726973,"arousal","trial_mean_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90894.0577747435,90988.7045244293,0.546462929888661,0.0175824095474357,0.53834593912105,15.9920241976697,16.1453656863397,"arousal","task_total_dist","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
90923.2870079464,91017.9337576321,0.535998484888679,0.0111629371934842,0.530760392622833,16.0792276412982,16.207739764489,"arousal","trial_sd_total_dist","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
90916.7450066375,91011.3917563233,NA,0.0323124089231029,NA,16.083232774599,16.2085774503927,"arousal","trial_sd_angle_sd","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90925.0146603531,91019.6614100389,0.536774210038612,0.014863464258481,0.529785189001528,16.0781099037333,16.2081593735147,"arousal","task_y_flips","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90919.6941857604,91014.3409354461,NA,0.0297979470222883,NA,16.0827626564096,16.208160575277,"arousal","task_x_flips","trial_sd_abs_jerk_sd","by_sample_cutoffNA",NA,NA,NA
90931.4729420495,91026.1196917353,NA,0.028269262817052,NA,16.0928002944083,16.2182506707873,"arousal","clicks","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90909.8237737299,91004.4705234157,0.536967249702326,0.0147063505787459,0.530056089806677,16.0528180815618,16.1885210585386,"arousal","task_total_dist","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90930.6241617716,91025.2709114574,0.535939426127822,0.013153127329209,0.529754223554208,16.0834541620271,16.2127513772468,"arousal","task_angle_sd","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90894.1494585414,90988.7962082271,0.539954446667952,0.0175629157598106,0.531730264754975,15.9811343525016,16.1407720985801,"arousal","task_x_flips","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90927.702552286,91022.3493019717,0.536290276231654,0.0129830123121284,0.530190736782955,16.0889309715246,16.2146012949833,"arousal","task_y_flips","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
