"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
90926.3179001748,90991.8425730342,0.53579201620693,0.0129169654647021,0.529717392000754,16.0945912236631,16.2200630163057,"arousal","clicks","by_sample_cutoffNA",NA,NA,NA
90903.8661203727,90969.3907932321,0.536232870409471,0.0149182595436015,0.529209495472263,16.0780149946033,16.203352007125,"arousal","task_total_dist","by_sample_cutoffNA",NA,NA,NA
90925.6771742018,90991.2018470612,0.535702285562065,0.0130918687741875,0.529543125902466,16.0941991056461,16.2196660372911,"arousal","task_angle_sd","by_sample_cutoffNA",NA,NA,NA
90912.6789719333,90978.2036447926,0.537812445921573,0.014175344460644,0.531166570564662,16.0836258841621,16.2090279562276,"arousal","task_x_flips","by_sample_cutoffNA",NA,NA,NA
90921.1190468149,90986.6437196743,0.536488879229951,0.0133694470749389,0.530208020220052,16.0904421243525,16.2158868407307,"arousal","task_y_flips","by_sample_cutoffNA",NA,NA,NA
90929.6924275756,90995.217100435,0.536583545532868,0.0125639878300454,0.530687104019283,16.0966295751594,16.2221278229753,"arousal","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
90922.643643231,90988.1683160903,0.535098317556381,0.0136560855885263,0.528661681132778,16.0923719225283,16.21781486966,"arousal","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90930.9679854206,90996.49265828,0.536446983456416,0.0125048333344015,0.530576926154657,16.0976427010175,16.223147651292,"arousal","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90923.039058207,90988.5637310664,0.536635648743303,0.0130680204433313,0.530500215967426,16.0917334891636,16.2171915304339,"arousal","trial_sd_total_dist","by_sample_cutoffNA",NA,NA,NA
90917.7217205455,90983.2463934049,0.53667792860184,0.0134160814572208,0.530377434002266,16.0878080833456,16.2132342154178,"arousal","trial_sd_distance_overshoot","by_sample_cutoffNA",NA,NA,NA
90905.6091678643,90971.1338407236,0.53301245999983,0.0168136617434898,0.525026414801205,16.0814459762047,16.2067636852689,"arousal","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
90926.0792806574,90991.6039535168,0.535159932434752,0.0131902408282302,0.528946624975224,16.0948042401362,16.2202692717763,"arousal","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
90912.9259930457,90978.4506659051,0.533186742426383,0.015558263312408,0.525809156421658,16.086533913179,16.2118998944852,"arousal","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90928.4065507418,90993.9312236012,0.535815217257943,0.0130016567483817,0.529700545177388,16.0961667561454,16.2216506478472,"arousal","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90930.1957556488,90995.7204285082,0.536547704583254,0.012503342079121,0.530679631470835,16.097011021819,16.2225121624585,"arousal","trial_sd_abs_jerk_sd","by_sample_cutoffNA",NA,NA,NA
90921.1636995852,90986.6883724446,0.535813899920235,0.0137347245016358,0.529349646984976,16.0909120126455,16.2163511572969,"arousal","trial_mean_angle_mean","by_sample_cutoffNA",NA,NA,NA
90930.5193949428,90996.0440678022,0.536408851175018,0.0125914594864735,0.530497124742429,16.0973467746232,16.2228484938103,"arousal","trial_sd_angle_mean","by_sample_cutoffNA",NA,NA,NA
