"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","iv","dframe"
"fixed",NA,"(Intercept)",67.6773673651152,1.34296843205343,50.3938631391618,166.13286985124,1.39023087287544e-102,65.0258827861484,70.3288519440821,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"clicks",-0.509967312764759,0.236009457175081,-2.16079185499098,68.0052206008243,0.0342370883472944,-0.98091619744957,-0.0390184280799475,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.03357491746326,0.158105246674389,-6.53725881464179,10563.5976967341,6.55474106697371e-11,-1.34349101646782,-0.723658818458709,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.26200389954533,1.1062038801756,-1.14084204743975,425.72413410245,0.254577013692964,-3.43630505037809,0.912297251287436,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.29919330279591,2.83394480529132,-1.51703494534149,286.396384235581,0.13036086142675,-9.87719494291327,1.27880833732145,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.08300189626871,2.63424883869868,1.54996818686488,337.332536079697,0.122086792778531,-1.09862166896212,9.26462546149955,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.210761348619742,0.573027282275614,0.367803340501981,3602.75759206555,0.713041483841923,-0.912728926896041,1.33425162413553,"arousal","clicks","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.2372453211073,NA,NA,NA,NA,NA,NA,"arousal","clicks","by_sample_cutoffNA"
"ran_pars","ID","cor__(Intercept).clicks",0.136305832378933,NA,NA,NA,NA,NA,NA,"arousal","clicks","by_sample_cutoffNA"
"ran_pars","ID","sd__clicks",1.34247312721666,NA,NA,NA,NA,NA,NA,"arousal","clicks","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.1835266860503,NA,NA,NA,NA,NA,NA,"arousal","clicks","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.6978991056166,1.3386257447999,50.5726857328118,165.946241289265,9.51931170283103e-103,65.0549666869383,70.3408315242949,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"task_total_dist",-1.58910261818938,0.379681710038295,-4.18535466991313,97.8429403502903,6.2239286245234e-05,-2.34258373180161,-0.835621504577143,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"timestamp",-0.937293803971321,0.158814058369898,-5.90183144736623,10511.1778508041,3.70594682295859e-09,-1.24859948547018,-0.625988122472457,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.1924604719132,1.14057706449692,-1.04548873463378,349.628643118639,0.29651941483102,-3.43571579268458,1.05079484885818,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.69382044750496,2.87300855546343,-1.63376486943591,263.892151152668,0.10350066060403,-10.3507576372448,0.963116742234826,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"screen_height",5.57621746610833,2.71887362327819,2.05092925922206,297.323525616689,0.0411500565986489,0.22554278869633,10.9268921435203,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.208443448788698,0.57509825762026,0.362448409513935,3772.55190117202,0.717037272180183,-0.91909017339369,1.33597707097109,"arousal","task_total_dist","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.0959842137856,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","by_sample_cutoffNA"
"ran_pars","ID","cor__(Intercept).task_total_dist",0.152497421052604,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","by_sample_cutoffNA"
"ran_pars","ID","sd__task_total_dist",2.80645183028693,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.1239829813531,NA,NA,NA,NA,NA,NA,"arousal","task_total_dist","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.6986220216004,1.34008506254709,50.518152849884,166.562982408382,6.34466007807432e-103,65.0528803382274,70.3443637049734,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"task_angle_sd",-0.491960171202542,0.220825764673203,-2.22782052597253,147.116156034487,0.0274102166086506,-0.928360543157652,-0.0555597992474324,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.00797078118108,0.15804272198043,-6.37783738820886,10551.0381336652,1.87124529476599e-10,-1.3177643622521,-0.698177200110068,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.16203961809922,1.1051136930545,-1.05151137426175,427.339892744826,0.293618019389945,-3.33417453585922,1.01009529966078,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.58597295379006,2.83087112829815,-1.61998647976146,286.465977406116,0.106335451712636,-10.1579189877128,0.985973080132665,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.38217551230119,2.62995944037717,1.66625212732281,337.710953950153,0.0965904012102617,-0.79098984399908,9.55534086860145,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.164364629257726,0.570214488827413,0.288250531121586,3717.7134872294,0.773171039844569,-0.95359920237764,1.28232846089309,"arousal","task_angle_sd","by_sample_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.1981934694992,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","by_sample_cutoffNA"
"ran_pars","ID","cor__(Intercept).task_angle_sd",0.151196004645846,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","by_sample_cutoffNA"
"ran_pars","ID","sd__task_angle_sd",0.986270734597549,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","by_sample_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2011199300689,NA,NA,NA,NA,NA,NA,"arousal","task_angle_sd","by_sample_cutoffNA"
"fixed",NA,"(Intercept)",67.6082938257777,1.34733819231957,50.1791563626529,166.263180147696,2.39846920041441e-102,64.9481971238815,70.268390527674,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"task_x_flips",-0.940448219645552,0.251461579442215,-3.73992807064852,114.567528893161,0.000289053356695015,-1.43856520422093,-0.44233123507017,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"timestamp",-1.0002325868032,0.158012139691432,-6.3300996287783,10564.4739865206,2.54943846158548e-10,-1.309966175619,-0.690498997987393,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"zoom",-1.26574445026566,1.10632856237032,-1.1440945242829,424.930909844414,0.253228503663746,-3.44030224296117,0.908813342429861,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"screen_width",-4.47671063391062,2.83175727360032,-1.58089490071968,286.366633980018,0.115005912864002,-10.0504090526288,1.09698778480761,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"screen_height",4.39887575460561,2.63353231051895,1.67033293536421,337.381629521384,0.0957809125240267,-0.781335670424978,9.5790871796362,"arousal","task_x_flips","by_sample_cutoffNA"
"fixed",NA,"median_sampling_freq",0.197702369903459,0.570310155776949,0.346657635149639,3760.79792783695,0.728867935345471,-0.920444854840222,1.31584959464714,"arousal","task_x_flips","by_sample_cutoffNA"
