"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
90922.9983990172,91003.0841102897,0.538697933075723,0.0121949273014479,0.533002937852849,16.0341080911819,16.1835266860503,"arousal","clicks","by_sample_cutoffNA",NA,NA,NA
90879.3664379497,90959.4521492223,0.543142552205171,0.0157042488700191,0.535853479738836,15.9579392645052,16.1239829813531,"arousal","task_total_dist","by_sample_cutoffNA",NA,NA,NA
90926.68434588,91006.7700571526,0.536813401444654,0.0131437956415068,0.530644285854756,16.0610328127766,16.2011199300689,"arousal","task_angle_sd","by_sample_cutoffNA",NA,NA,NA
90895.0073514184,90975.0930626909,0.543639134510231,0.0145602216667661,0.536896241126317,15.9777382228656,16.1413881360839,"arousal","task_x_flips","by_sample_cutoffNA",NA,NA,NA
90913.6742739355,90993.7599852081,0.54044577501037,0.0129677770297498,0.534408082841809,16.0007000010411,16.1613536799424,"arousal","task_y_flips","by_sample_cutoffNA",NA,NA,NA
90931.8391478999,91011.9248591724,0.53764668607079,0.0129021378261119,0.531603368169628,16.0721834112247,16.2078770787213,"arousal","trial_sd_duration","by_sample_cutoffNA",NA,NA,NA
90888.8363707459,90968.9220820185,0.541819848103767,0.0152062215224145,0.534745078706179,15.970706729218,16.1330407491188,"arousal","trial_mean_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90934.7200985052,91014.8058097778,NA,0.0264046845173261,NA,16.097546691416,16.2230482873145,"arousal","trial_sd_trial_move_offset","by_sample_cutoffNA",NA,NA,NA
90916.731396367,90996.8171076395,0.538331577145729,0.0131007034974972,0.532203108776763,16.0240823013009,16.175467455875,"arousal","trial_sd_total_dist","by_sample_cutoffNA",NA,NA,NA
90903.5938777282,90983.6795890008,0.542318630454835,0.0134647091799053,0.536071974511221,15.9972811031167,16.1548477915295,"arousal","trial_sd_distance_overshoot","by_sample_cutoffNA",NA,NA,NA
90856.98504506,90937.0707563326,0.550137612420876,0.0162978697170569,0.5426843413974,15.9085761279037,16.0853519715596,"arousal","trial_mean_speed_mean","by_sample_cutoffNA",NA,NA,NA
90921.5063694209,91001.5920806935,0.5374512353787,0.0126070809098759,0.531545390210479,16.0279877140944,16.1804109706925,"arousal","trial_sd_speed_mean","by_sample_cutoffNA",NA,NA,NA
90889.1970214945,90969.2827327671,0.540124601458353,0.0170562989591662,0.532144721966592,15.9612633070754,16.1298008722196,"arousal","trial_mean_speed_sd","by_sample_cutoffNA",NA,NA,NA
90929.9059029963,91009.9916142689,0.5369962540902,0.0131818294935566,0.53081149116642,16.0568261433778,16.1995653273573,"arousal","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
90933.6540894865,91013.7398007591,NA,0.0258408672432579,NA,16.096640688701,16.2221366799543,"arousal","trial_sd_abs_jerk_sd","by_sample_cutoffNA",NA,NA,NA
90900.2237508447,90980.3094621173,0.541877050518084,0.0135218450381269,0.535597471492288,15.9993589653191,16.1564653375648,"arousal","trial_mean_angle_mean","by_sample_cutoffNA",NA,NA,NA
90934.3934043522,91014.4791156248,0.536547060138745,0.0125436926634634,0.530659800926964,16.0922864060036,16.2202227652002,"arousal","trial_sd_angle_mean","by_sample_cutoffNA",NA,NA,NA
