"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","arousal","cutoff_0"
"within","clicks_within",-0.00911644418906792,0.95,-0.0280426136671933,0.00980972528905751,"clicks","arousal","cutoff_0"
"between","clicks_between",-0.196327139457585,0.95,-0.346059818227105,-0.0465944606880652,"clicks","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_total_dist","arousal","cutoff_0"
"within","task_total_dist_within",-0.0491671333996203,0.95,-0.0680707219987539,-0.0302635448004868,"task_total_dist","arousal","cutoff_0"
"between","task_total_dist_between",-0.0348891385262747,0.95,-0.187110188952794,0.117331911900244,"task_total_dist","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","arousal","cutoff_0"
"within","task_angle_sd_within",-0.0241803638582498,0.95,-0.0431017066469294,-0.00525902106957013,"task_angle_sd","arousal","cutoff_0"
"between","task_angle_sd_between",-0.169598888863632,0.95,-0.319571589853153,-0.0196261878741106,"task_angle_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","arousal","cutoff_0"
"within","task_x_flips_within",-0.0472589410716002,0.95,-0.066164339947692,-0.0283535421955084,"task_x_flips","arousal","cutoff_0"
"between","task_x_flips_between",-0.0454073642276644,0.95,-0.197488348182454,0.106673619727125,"task_x_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","arousal","cutoff_0"
"within","task_y_flips_within",-0.0361511251830675,0.95,-0.0550654568415823,-0.0172367935245528,"task_y_flips","arousal","cutoff_0"
"between","task_y_flips_between",-0.120468993819737,0.95,-0.271458474870703,0.0305204872312284,"task_y_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","arousal","cutoff_0"
"within","trial_sd_duration_within",-0.00918321873562854,0.95,-0.0281092536237543,0.0097428161524972,"trial_sd_duration","arousal","cutoff_0"
"between","trial_sd_duration_between",0.150835380332732,0.95,1.59470976519472e-05,0.301654813567812,"trial_sd_duration","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","arousal","cutoff_0"
"within","trial_mean_trial_move_offset_within",0.0403673958920808,0.95,0.0214561993179886,0.0592785924661731,"trial_mean_trial_move_offset","arousal","cutoff_0"
"between","trial_mean_trial_move_offset_between",0.155110142181444,0.95,0.00490488442923937,0.305315399933649,"trial_mean_trial_move_offset","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","arousal","cutoff_0"
"within","trial_sd_trial_move_offset_within",0.0113190880324258,0.95,-0.00760649887882648,0.0302446749436781,"trial_sd_trial_move_offset","arousal","cutoff_0"
"between","trial_sd_trial_move_offset_between",0.210818172923326,0.95,0.0619264275169409,0.359709918329711,"trial_sd_trial_move_offset","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_total_dist","arousal","cutoff_0"
"within","trial_sd_total_dist_within",-0.0184967872766126,0.95,-0.0374203416571746,0.000426767103949395,"trial_sd_total_dist","arousal","cutoff_0"
"between","trial_sd_total_dist_between",-0.0218703493734804,0.95,-0.174306964509362,0.130566265762402,"trial_sd_total_dist","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_distance_overshoot","arousal","cutoff_0"
"within","trial_sd_distance_overshoot_within",-0.0454601500293476,0.95,-0.0643671998134064,-0.0265531002452889,"trial_sd_distance_overshoot","arousal","cutoff_0"
"between","trial_sd_distance_overshoot_between",-0.118032412425574,0.95,-0.269278328741298,0.03321350389015,"trial_sd_distance_overshoot","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_mean","arousal","cutoff_0"
"within","trial_mean_speed_mean_within",-0.045313710570529,0.95,-0.0642207999900711,-0.0264066211509869,"trial_mean_speed_mean","arousal","cutoff_0"
"between","trial_mean_speed_mean_between",-0.145407839468736,0.95,-0.296185927157747,0.0053702482202755,"trial_mean_speed_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_mean","arousal","cutoff_0"
"within","trial_sd_speed_mean_within",-0.0168336032661903,0.95,-0.035757709881849,0.00209050334946843,"trial_sd_speed_mean","arousal","cutoff_0"
"between","trial_sd_speed_mean_between",-0.153946855328567,0.95,-0.304607225602476,-0.00328648505465719,"trial_sd_speed_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_sd","arousal","cutoff_0"
"within","trial_mean_speed_sd_within",-0.0341846094478309,0.95,-0.0531002310746552,-0.0152689878210066,"trial_mean_speed_sd","arousal","cutoff_0"
"between","trial_mean_speed_sd_between",-0.161010371047945,0.95,-0.311354042825088,-0.0106666992708014,"trial_mean_speed_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_sd","arousal","cutoff_0"
"within","trial_sd_speed_sd_within",-0.014285449725827,0.95,-0.0332103290809126,0.00463942962925861,"trial_sd_speed_sd","arousal","cutoff_0"
"between","trial_sd_speed_sd_between",-0.136368610397527,0.95,-0.287305585185998,0.0145683643909437,"trial_sd_speed_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
