"Name","Model","log_BF","BF","df","df_diff","Chi2","p","iv","dv","dframe"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"clicks","arousal","cutoff_0"
"..2","lmerModLmerTest",-5.59765273467929,0.00370655377869625,5,2,7.36573294383561,0.0251507774115574,"clicks","arousal","cutoff_0"
"..3","lmerModLmerTest",-7.93185303090104,0.000359120334911719,7,2,2.69733235139574,0.259586272313718,"clicks","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"..2","lmerModLmerTest",3.80084622095819,44.7390275820242,5,2,26.1627308551106,2.08369993918716e-06,"task_total_dist","arousal","cutoff_0"
"..3","lmerModLmerTest",11.1947067570636,72744.3673332392,7,2,40.950451927325,1.28151102922838e-09,"task_total_dist","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"..2","lmerModLmerTest",-3.72408080415516,0.0241352752784897,5,2,11.1128768048839,0.00386250863005653,"task_angle_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",-8.22462915152755,0.000267971707641628,7,2,2.11178011014272,0.347882654748233,"task_angle_sd","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_x_flips","arousal","cutoff_0"
"..2","lmerModLmerTest",2.88189950591004,17.8481436552002,5,2,24.3248374250143,5.22310391785733e-06,"task_x_flips","arousal","cutoff_0"
"..3","lmerModLmerTest",0.189479681128432,1.20862056593388,7,2,18.9399977754547,7.71314932737017e-05,"task_x_flips","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_y_flips","arousal","cutoff_0"
"..2","lmerModLmerTest",-1.05319823446735,0.348820353938858,5,2,16.4546419442595,0.000267251345855514,"task_y_flips","arousal","cutoff_0"
"..3","lmerModLmerTest",0.268640061114638,1.30818418993557,7,2,19.0983185354271,7.12611494382748e-05,"task_y_flips","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_duration","arousal","cutoff_0"
"..2","lmerModLmerTest",-6.92827080388088,0.000979693486714275,5,2,4.70449680543243,0.095154974812183,"trial_sd_duration","arousal","cutoff_0"
"..3","lmerModLmerTest",-7.24003477826773,0.000717286813682676,7,2,4.08096885666237,0.129965736541517,"trial_sd_duration","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_trial_move_offset","arousal","cutoff_0"
"..2","lmerModLmerTest",1.48971225094647,4.43581893264471,5,2,21.5404629150871,2.10158959298133e-05,"trial_mean_trial_move_offset","arousal","cutoff_0"
"..3","lmerModLmerTest",15.6248952309925,6106688.66566964,7,2,49.8108288751828,1.52656724708864e-11,"trial_mean_trial_move_offset","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_trial_move_offset","arousal","cutoff_0"
"..2","lmerModLmerTest",-4.82659663685627,0.00801374860405729,5,2,8.90784513948165,0.011632846706067,"trial_sd_trial_move_offset","arousal","cutoff_0"
"..3","lmerModLmerTest",-8.88961437663056,0.000137812791569188,7,2,0.781809659936698,0.676444530223345,"trial_sd_trial_move_offset","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_total_dist","arousal","cutoff_0"
"..2","lmerModLmerTest",-7.40581458485758,0.000607708893125835,5,2,3.74940924347902,0.153400271258913,"trial_sd_total_dist","arousal","cutoff_0"
"..3","lmerModLmerTest",-3.54210918222998,0.0289521971779987,7,2,11.4768200487379,0.0032198837441819,"trial_sd_total_dist","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_distance_overshoot","arousal","cutoff_0"
"..2","lmerModLmerTest",2.97577164051836,19.6047452302509,5,2,24.5125816942309,4.75510943687807e-06,"trial_sd_distance_overshoot","arousal","cutoff_0"
"..3","lmerModLmerTest",7.36151804591464,1574.22449506731,7,2,33.2840745050271,5.92181797093692e-08,"trial_sd_distance_overshoot","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_speed_mean","arousal","cutoff_0"
"..2","lmerModLmerTest",3.51111719184701,33.4856567974713,5,2,25.5832727968882,2.78395940135767e-06,"trial_mean_speed_mean","arousal","cutoff_0"
"..3","lmerModLmerTest",23.1789756781636,11654703602.3111,7,2,64.9189897695251,7.99871985018142e-15,"trial_mean_speed_mean","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_speed_mean","arousal","cutoff_0"
"..2","lmerModLmerTest",-5.77803486246376,0.00309479112668021,5,2,7.00496868826667,0.0301224558414567,"trial_sd_speed_mean","arousal","cutoff_0"
"..3","lmerModLmerTest",-1.85394888993869,0.156617478394548,7,2,14.8531406333204,0.000595225449977824,"trial_sd_speed_mean","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_speed_sd","arousal","cutoff_0"
"..2","lmerModLmerTest",-0.834760763886152,0.433978292294985,5,2,16.8915168854219,0.000214809613077584,"trial_mean_speed_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",8.72964985588987,6183.56259408026,7,2,36.0203381249776,1.50758899313209e-08,"trial_mean_speed_sd","arousal","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_sd_speed_sd","arousal","cutoff_0"
"..2","lmerModLmerTest",-6.6321490044902,0.00131732909584032,5,2,5.29674040421378,0.0707664541429489,"trial_sd_speed_sd","arousal","cutoff_0"
"..3","lmerModLmerTest",-5.16221953906279,0.00572896989127898,7,2,8.23659933507224,0.016272159013036,"trial_sd_speed_sd","arousal","cutoff_0"
