"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0796756794954104,0.054833783845971,-1.45303996746277,169.057481561781,0.148066314118839,-0.187922811294416,0.0285714523035949,"clicks","arousal","cutoff_0"
"fixed",NA,"clicks_within",-0.00651212903293968,0.00689704603708685,-0.944191034527335,10558.1697032233,0.345093641197437,-0.0200316407085733,0.00700738264269396,"clicks","arousal","cutoff_0"
"fixed",NA,"clicks_between",-0.334650692862927,0.130205960173805,-2.57016416465283,170.815584039235,0.0110184907494746,-0.591670636205215,-0.0776307495206383,"clicks","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.705592619699789,NA,NA,NA,NA,NA,NA,"clicks","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639567203658211,NA,NA,NA,NA,NA,NA,"clicks","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0805523576710482,0.0558940134212112,-1.44116252780086,169.302116820878,0.151385762862971,-0.19089133462936,0.0297866192872636,"task_total_dist","arousal","cutoff_0"
"fixed",NA,"task_total_dist_within",-0.0583333532503859,0.0114416640429528,-5.09832774598158,10558.4228428491,3.48605955345179e-07,-0.0807611737057528,-0.0359055327950189,"task_total_dist","arousal","cutoff_0"
"fixed",NA,"task_total_dist_between",-0.0298458473915306,0.06643107234191,-0.44927541193252,169.544793697661,0.65380677329313,-0.160984418183611,0.10129272340055,"task_total_dist","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.719398311052544,NA,NA,NA,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.638804133790869,NA,NA,NA,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.073483738424171,0.0551790687228921,-1.33173212460697,169.01955327943,0.184741366319013,-0.182412671799802,0.0354451949514598,"task_angle_sd","arousal","cutoff_0"
"fixed",NA,"task_angle_sd_within",-0.0201253204111336,0.00803405509937483,-2.50500154183653,10558.1633355881,0.0122600286965399,-0.0358735843986638,-0.00437705642360341,"task_angle_sd","arousal","cutoff_0"
"fixed",NA,"task_angle_sd_between",-0.192550043408716,0.0868631774674874,-2.21670504145197,168.755865961697,0.0279798904486119,-0.364028469901359,-0.021071616916074,"task_angle_sd","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.709096101449918,NA,NA,NA,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639404096576487,NA,NA,NA,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0800260233453588,0.0558536875716247,-1.4327795858194,169.234349348308,0.153765488150406,-0.19028571188263,0.0302336651919129,"task_x_flips","arousal","cutoff_0"
"fixed",NA,"task_x_flips_within",-0.0369561344065342,0.00754208247100016,-4.89999075833937,10558.3345965889,9.72650216856525e-07,-0.0517400391817694,-0.0221722296312989,"task_x_flips","arousal","cutoff_0"
"fixed",NA,"task_x_flips_between",-0.0552550712106953,0.0944112274854081,-0.58525953620543,169.213222611191,0.559152878693705,-0.241630624003407,0.131120481582016,"task_x_flips","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.718997326816814,NA,NA,NA,NA,NA,NA,"task_x_flips","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.63886530801703,NA,NA,NA,NA,NA,NA,"task_x_flips","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0780272006276957,0.0555218610336126,-1.40534195315353,169.185633017514,0.161753221527899,-0.187632064071027,0.0315776628156356,"task_y_flips","arousal","cutoff_0"
"fixed",NA,"task_y_flips_within",-0.0289780210866479,0.00773465212593696,-3.74651899204033,10558.2979536637,0.000180260143986638,-0.0441393987279822,-0.0138166434453136,"task_y_flips","arousal","cutoff_0"
"fixed",NA,"task_y_flips_between",-0.142773145574321,0.0912894977882868,-1.56396024771033,168.542630341524,0.11970257228132,-0.32299131083818,0.037445019689538,"task_y_flips","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.714438376693736,NA,NA,NA,NA,NA,NA,"task_y_flips","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639167171248347,NA,NA,NA,NA,NA,NA,"task_y_flips","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0791028144449759,0.0552938152969008,-1.43059063694976,169.319661731825,0.154390456589326,-0.188256873844933,0.0300512449549809,"trial_sd_duration","arousal","cutoff_0"
"fixed",NA,"trial_sd_duration_within",-0.0063073314499448,0.00663152241104166,-0.951113644650123,10558.4138743803,0.34156845984431,-0.0193063666808975,0.00669170378100794,"trial_sd_duration","arousal","cutoff_0"
"fixed",NA,"trial_sd_duration_between",0.285777411788092,0.145775607792004,1.96039252462487,170.401066596784,0.0515803770948925,-0.00198121818856811,0.573536041764753,"trial_sd_duration","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.711607285569889,NA,NA,NA,NA,NA,NA,"trial_sd_duration","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639562655492781,NA,NA,NA,NA,NA,NA,"trial_sd_duration","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0807459467576261,0.0552480666100764,-1.46151624322903,169.260131183997,0.145727845196962,-0.189809970986191,0.0283180774709385,"trial_mean_trial_move_offset","arousal","cutoff_0"
"fixed",NA,"trial_mean_trial_move_offset_within",0.0415655059293314,0.00993400162280743,4.18416540560063,10558.369338759,2.88532355367641e-05,0.0220929882874316,0.0610380235712312,"trial_mean_trial_move_offset","arousal","cutoff_0"
"fixed",NA,"trial_mean_trial_move_offset_between",0.146365343124749,0.0723079542617202,2.02419422066592,168.263020550891,0.0445318090246083,0.00361766942555375,0.289113016823945,"trial_mean_trial_move_offset","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.71102986386855,NA,NA,NA,NA,NA,NA,"trial_mean_trial_move_offset","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639061228142445,NA,NA,NA,NA,NA,NA,"trial_mean_trial_move_offset","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0719950791384468,0.0547648594463423,-1.31462181892362,169.276145684176,0.190415377931748,-0.180105140816539,0.0361149825396452,"trial_sd_trial_move_offset","arousal","cutoff_0"
"fixed",NA,"trial_sd_trial_move_offset_within",0.00800584247623276,0.00682885419488301,1.17235516351069,10558.4813269651,0.241080943196775,-0.00538000027587881,0.0213916852283443,"trial_sd_trial_move_offset","arousal","cutoff_0"
"fixed",NA,"trial_sd_trial_move_offset_between",0.344647941945532,0.124176994952407,2.77545725822745,169.26590050667,0.00613271728327529,0.0995128577098363,0.589783026181227,"trial_sd_trial_move_offset","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.703694717140793,NA,NA,NA,NA,NA,NA,"trial_sd_trial_move_offset","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639547517124893,NA,NA,NA,NA,NA,NA,"trial_sd_trial_move_offset","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0791437293805104,0.056002549321743,-1.41321654708642,169.294581757892,0.159428042264127,-0.189696999772598,0.0314095410115773,"trial_sd_total_dist","arousal","cutoff_0"
