"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","iv","dv","dframe"
21580.1198271384,21580.1254236312,21616.5224231714,0.558954606297062,0.0221466071179043,0.548965727466554,0.634611816734652,0.639567203658211,"clicks","arousal","cutoff_0"
21561.618446881,21561.6240433738,21598.021042914,0.55990128283425,0.00174798551835938,0.559130649594252,0.633850666831809,0.638804133790869,"task_total_dist","arousal","cutoff_0"
21576.8673577941,21576.872954287,21613.2699538271,0.559002289054284,0.0166322362992908,0.551543453808056,0.634448946703234,0.639404096576487,"task_angle_sd","arousal","cutoff_0"
21563.5879663767,21563.5935628695,21599.9905624097,0.559724141531192,0.00207528888884905,0.558808541800134,0.633911493391056,0.63886530801703,"task_x_flips","arousal","cutoff_0"
21571.487444144,21571.4930406369,21607.890040177,0.559243114365137,0.00856256849011839,0.555436509025461,0.634212325566136,0.639167171248347,"task_y_flips","arousal","cutoff_0"
21582.6170380954,21582.6226345883,21619.0196341284,0.558417553819,0.0117461225752117,0.553169022385539,0.634605635559317,0.639562655492781,"trial_sd_duration","arousal","cutoff_0"
21566.3767052124,21566.3823017052,21602.7793012454,0.559813031540943,0.0148990821794562,0.553155457988066,0.634108098490298,0.639061228142445,"trial_mean_trial_move_offset","arousal","cutoff_0"
21578.6976872929,21578.7032837858,21615.1002833259,0.558247826575371,0.0234352127787878,0.547646833876099,0.634592813354703,0.639547517124893,"trial_sd_trial_move_offset","arousal","cutoff_0"
21584.0600092785,21584.0656057714,21620.4626053115,0.558963520866908,0.000410934136548545,0.558782209415104,0.63452026668445,0.63947883233522,"trial_sd_total_dist","arousal","cutoff_0"
21563.3107981514,21563.3163946443,21599.7133941844,0.559362378762401,0.00815491917891597,0.555739470046246,0.633968039829435,0.638921096727636,"trial_sd_distance_overshoot","arousal","cutoff_0"
21562.2451253102,21562.2507218031,21598.6477213432,0.559328926589235,0.0117796169539115,0.554076114021813,0.633970022753057,0.638922436119387,"trial_mean_speed_mean","arousal","cutoff_0"
21581.0449749315,21581.0505714244,21617.4475709645,0.558496775800914,0.0123012098779913,0.552998111757788,0.634541045654253,0.639497493874575,"trial_sd_speed_mean","arousal","cutoff_0"
21570.8718839698,21570.8774804627,21607.2744800028,0.559490132518155,0.0153949307621944,0.552602478653854,0.63425669304118,0.639210762817445,"trial_mean_speed_sd","arousal","cutoff_0"
21582.566715606,21582.5723120988,21618.969311639,0.559393507507441,0.0115618831179756,0.554239678774804,0.634566468781386,0.639523606860353,"trial_sd_speed_sd","arousal","cutoff_0"
21584.3343458004,21584.3399422932,21620.7369418334,0.558975038575935,0.000635215118353989,0.558694714786958,0.634531360907756,0.639489979124554,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
21569.7796782536,21569.7852747465,21606.1822742866,0.559065093630239,0.0116651124044921,0.5538608300649,0.634190682250517,0.639144736871106,"trial_mean_angle_mean","arousal","cutoff_0"
21584.1934187964,21584.1990152892,21620.5960148293,0.558721924323107,0.00865446387570746,0.554869559001508,0.634622534292836,0.639580360887168,"trial_sd_angle_mean","arousal","cutoff_0"
