"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","dframe"
"fixed",NA,"(Intercept)",-0.0800763410446192,0.0559176062005439,-1.43204164994889,169.32296871846,0.153975307752851,-0.190461794063243,0.0303091119740042,"arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.71982115316377,NA,NA,NA,NA,NA,NA,"arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.639589959306681,NA,NA,NA,NA,NA,NA,"arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0597545441474173,0.0606980844690075,-0.984455187839215,168.76006222306,0.326301040775672,-0.179579888443987,0.0600708001491519,"valence","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.783614979609293,NA,NA,NA,NA,NA,NA,"valence","cutoff_0"
"ran_pars","Residual","sd__Observation",0.583132179005405,NA,NA,NA,NA,NA,NA,"valence","cutoff_0"
"fixed",NA,"(Intercept)",-0.0784270178786922,0.0563219326585291,-1.39247739160839,168.993543089903,0.16560734498077,-0.189612200974194,0.0327581652168095,"arousal","iqr_out_2.5"
"ran_pars","ID","sd__(Intercept)",0.722900231527672,NA,NA,NA,NA,NA,NA,"arousal","iqr_out_2.5"
"ran_pars","Residual","sd__Observation",0.648420161897955,NA,NA,NA,NA,NA,NA,"arousal","iqr_out_2.5"
"fixed",NA,"(Intercept)",-0.0536130413817106,0.0612020016162246,-0.876001437304262,168.712896458502,0.38227476429615,-0.174433422876256,0.067207340112835,"valence","iqr_out_2.5"
"ran_pars","ID","sd__(Intercept)",0.788528923291205,NA,NA,NA,NA,NA,NA,"valence","iqr_out_2.5"
"ran_pars","Residual","sd__Observation",0.589394166159379,NA,NA,NA,NA,NA,NA,"valence","iqr_out_2.5"
"fixed",NA,"(Intercept)",-0.0727494865253294,0.056365713920997,-1.29066912249699,169.357406335136,0.19857763545362,-0.184019374172354,0.0385204011216952,"arousal","iqr_out_3.5"
"ran_pars","ID","sd__(Intercept)",0.724538508971088,NA,NA,NA,NA,NA,NA,"arousal","iqr_out_3.5"
"ran_pars","Residual","sd__Observation",0.645490410529314,NA,NA,NA,NA,NA,NA,"arousal","iqr_out_3.5"
"fixed",NA,"(Intercept)",-0.0543636914468963,0.0614405200025904,-0.884818218410331,168.644840944174,0.377514461209161,-0.175655291558268,0.0669279086644753,"valence","iqr_out_3.5"
"ran_pars","ID","sd__(Intercept)",0.792456692699122,NA,NA,NA,NA,NA,NA,"valence","iqr_out_3.5"
"ran_pars","Residual","sd__Observation",0.58738374036551,NA,NA,NA,NA,NA,NA,"valence","iqr_out_3.5"
