"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0796876367547113,0.0548353769803035,-1.45321580962842,169.054400890598,0.148017590353421,-0.187937927774156,0.0285626542647331,"clicks","arousal","cutoff_0"
"fixed",NA,"clicks_within",-0.00732169397137675,0.00768515249733121,-0.952706400285397,110.647066875613,0.342815450821328,-0.0225508719686239,0.00790748402587044,"clicks","arousal","cutoff_0"
"fixed",NA,"clicks_between",-0.333068268748624,0.130180785870206,-2.55850559298899,170.825587492101,0.0113803818565646,-0.590038411937411,-0.0760981255598368,"clicks","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.705633236296984,NA,NA,NA,NA,NA,NA,"clicks","arousal","cutoff_0"
"ran_pars","ID","cor__(Intercept).clicks_within",0.0568993079793003,NA,NA,NA,NA,NA,NA,"clicks","arousal","cutoff_0"
"ran_pars","ID","sd__clicks_within",0.0374743155420057,NA,NA,NA,NA,NA,NA,"clicks","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.63868780874384,NA,NA,NA,NA,NA,NA,"clicks","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0804415940234939,0.0559080463071298,-1.4388196214475,169.249119305027,0.15204836541316,-0.190808521732245,0.0299253336852574,"task_total_dist","arousal","cutoff_0"
"fixed",NA,"task_total_dist_within",-0.0713344717089281,0.01628516397057,-4.38033487644591,130.748961673087,2.40774421993483e-05,-0.103550987318148,-0.0391179560997086,"task_total_dist","arousal","cutoff_0"
"fixed",NA,"task_total_dist_between",-0.020785546398709,0.0659291026071652,-0.315271186422155,170.130602363628,0.752942132017509,-0.15092998024863,0.109358887451212,"task_total_dist","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.719668688651061,NA,NA,NA,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"ran_pars","ID","cor__(Intercept).task_total_dist_within",0.217488376353716,NA,NA,NA,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"ran_pars","ID","sd__task_total_dist_within",0.130378270807467,NA,NA,NA,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.6350014098859,NA,NA,NA,NA,NA,NA,"task_total_dist","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0731617184004183,0.055179385567029,-1.3258886022126,169.005711895224,0.186665845415014,-0.182091341586116,0.0357679047852791,"task_angle_sd","arousal","cutoff_0"
"fixed",NA,"task_angle_sd_within",-0.0204919292356773,0.00857786752353976,-2.38893048644579,143.550739185477,0.0181971440181621,-0.0374471779464715,-0.00353668052488315,"task_angle_sd","arousal","cutoff_0"
"fixed",NA,"task_angle_sd_between",-0.200414998894535,0.0866688277488963,-2.3124230949009,168.668663852373,0.0219625908757334,-0.371510394358581,-0.0293196034304899,"task_angle_sd","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.709117296651133,NA,NA,NA,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"ran_pars","ID","cor__(Intercept).task_angle_sd_within",0.218314382969399,NA,NA,NA,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"ran_pars","ID","sd__task_angle_sd_within",0.0338456013347262,NA,NA,NA,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"ran_pars","Residual","sd__Observation",0.638859776037201,NA,NA,NA,NA,NA,NA,"task_angle_sd","arousal","cutoff_0"
"fixed",NA,"(Intercept)",-0.0799931853045332,0.0558599492723875,-1.43203111256807,169.187993979332,0.153979787867503,-0.190265452525293,0.030279081916227,"task_x_flips","arousal","cutoff_0"
"fixed",NA,"task_x_flips_within",-0.0389221588969335,0.00937353969365128,-4.15234374302544,142.116486334838,5.64847188486623e-05,-0.0574517446876797,-0.0203925731061874,"task_x_flips","arousal","cutoff_0"
"fixed",NA,"task_x_flips_between",-0.0686701084302141,0.0936842674967256,-0.732995093681169,169.35416712203,0.464574783431238,-0.253609473663355,0.116269256802927,"task_x_flips","arousal","cutoff_0"
"ran_pars","ID","sd__(Intercept)",0.719129745246492,NA,NA,NA,NA,NA,NA,"task_x_flips","arousal","cutoff_0"
"ran_pars","ID","cor__(Intercept).task_x_flips_within",0.239601312322479,NA,NA,NA,NA,NA,NA,"task_x_flips","arousal","cutoff_0"
