"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","arousal","cutoff_0"
"within","clicks_within",-0.0102497684124296,0.95,-0.0313385796094632,0.0108390427846039,"clicks","arousal","cutoff_0"
"between","clicks_between",-0.195398789968415,0.95,-0.345102522249314,-0.0456950576875167,"clicks","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_total_dist","arousal","cutoff_0"
"within","task_total_dist_within",-0.0601253192397457,0.95,-0.08703119982649,-0.0332194386530015,"task_total_dist","arousal","cutoff_0"
"between","task_total_dist_between",-0.0242978461336855,0.95,-0.175368679557436,0.126772987290065,"task_total_dist","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","arousal","cutoff_0"
"within","task_angle_sd_within",-0.0246208405607329,0.95,-0.0448229394037014,-0.00441874171776441,"task_angle_sd","arousal","cutoff_0"
"between","task_angle_sd_between",-0.17652637476674,0.95,-0.32616352645556,-0.0268892230779207,"task_angle_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","arousal","cutoff_0"
"within","task_x_flips_within",-0.0497730632066436,0.95,-0.0732692940160192,-0.0262768323972679,"task_x_flips","arousal","cutoff_0"
"between","task_x_flips_between",-0.0564315375353346,0.95,-0.207341511503069,0.0944784364323997,"task_x_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","arousal","cutoff_0"
"within","task_y_flips_within",-0.0356447846573505,0.95,-0.0598644999504629,-0.0114250693642382,"task_y_flips","arousal","cutoff_0"
"between","task_y_flips_between",-0.132736921289845,0.95,-0.283357945426126,0.0178841028464366,"task_y_flips","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","arousal","cutoff_0"
"within","trial_sd_duration_within",-0.00892169683697345,0.95,-0.0303505482564534,0.0125071545825065,"trial_sd_duration","arousal","cutoff_0"
"between","trial_sd_duration_between",0.151599517421542,0.95,0.000792247935602563,0.302406786907481,"trial_sd_duration","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","arousal","cutoff_0"
"within","trial_mean_trial_move_offset_within",0.0454723740020879,0.95,0.0192225719131218,0.071722176091054,"trial_mean_trial_move_offset","arousal","cutoff_0"
"between","trial_mean_trial_move_offset_between",0.162819159276059,0.95,0.0156414623098281,0.30999685624229,"trial_mean_trial_move_offset","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","arousal","cutoff_0"
"within","trial_sd_trial_move_offset_within",0.0118515852212686,0.95,-0.00746410176171275,0.0311672722042499,"trial_sd_trial_move_offset","arousal","cutoff_0"
"between","trial_sd_trial_move_offset_between",0.207334116058567,0.95,0.058699022503768,0.355969209613367,"trial_sd_trial_move_offset","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_total_dist","arousal","cutoff_0"
"within","trial_sd_total_dist_within",-0.0217015052948174,0.95,-0.0441261745334269,0.000723163943792047,"trial_sd_total_dist","arousal","cutoff_0"
"between","trial_sd_total_dist_between",-0.0310913339206535,0.95,-0.183059172693442,0.120876504852135,"trial_sd_total_dist","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_distance_overshoot","arousal","cutoff_0"
"within","trial_sd_distance_overshoot_within",-0.0527258040673736,0.95,-0.0775277386671347,-0.0279238694676125,"trial_sd_distance_overshoot","arousal","cutoff_0"
"between","trial_sd_distance_overshoot_between",-0.119128637685191,0.95,-0.268775943614331,0.0305186682439487,"trial_sd_distance_overshoot","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_mean","arousal","cutoff_0"
"within","trial_mean_speed_mean_within",-0.051636664026811,0.95,-0.0810739995284691,-0.0221993285251529,"trial_mean_speed_mean","arousal","cutoff_0"
"between","trial_mean_speed_mean_between",-0.129319094452453,0.95,-0.27800739735448,0.0193692084495748,"trial_mean_speed_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_mean","arousal","cutoff_0"
"within","trial_sd_speed_mean_within",-0.0214091707838989,0.95,-0.0448386917856996,0.00202035021790191,"trial_sd_speed_mean","arousal","cutoff_0"
"between","trial_sd_speed_mean_between",-0.139929331489651,0.95,-0.28986462740489,0.0100059644255887,"trial_sd_speed_mean","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_sd","arousal","cutoff_0"
"within","trial_mean_speed_sd_within",-0.0407313018847052,0.95,-0.0668503210056804,-0.01461228276373,"trial_mean_speed_sd","arousal","cutoff_0"
"between","trial_mean_speed_sd_between",-0.15480845786423,0.95,-0.30426046959278,-0.00535644613568081,"trial_mean_speed_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_sd","arousal","cutoff_0"
"within","trial_sd_speed_sd_within",-0.017652302799274,0.95,-0.0400182350217247,0.00471362942317665,"trial_sd_speed_sd","arousal","cutoff_0"
"between","trial_sd_speed_sd_between",-0.135498996887799,0.95,-0.286386527041284,0.0153885332656868,"trial_sd_speed_sd","arousal","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
"within","trial_sd_abs_jerk_sd_within",-0.0194214617734393,0.95,-0.0405686885049438,0.00172576495806532,"trial_sd_abs_jerk_sd","arousal","cutoff_0"
